,Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
0,aapl,2019-12-31,70.3765,0.10865816654653117,1.0,1.9897,1.7359,0.2538,1,1,1,122.8712,-1,1.0,11.1637,1,1.0,94.0259,-1,1.0,85.4303,84.0097,0.8659182020012837,1.0,0.8346746229971974,1.0,47.241,1.0,85.7143,0.0,0.857143,0.0,1,69.9654,71.5,73.0346,3.069199999999995,74895469091.6198,1.0
1,aapl,2020-01-02,70.8684,0.11396606570184253,0.006941034367927047,2.1579,1.8203,0.3376,1,1,1,161.5191,-1,0.23927758388945955,15.7641,1,0.2918276336739807,96.7291,-1,0.027946088612423866,87.0953,92.5057,0.8853838950325655,0.019116990239427294,0.9246280263719324,0.09184298913472369,49.1699,0.03922928458264098,100.0,7.1429,1.0,0.071429,1,70.3645,72.2934,74.2222,3.857699999999994,75018579814.1664,0.0016410697570064141
2,aapl,2020-01-03,71.3048,0.11867508621694298,0.006120205091382433,2.2076,1.8978,0.3099,1,1,1,145.7214,-1,-0.108410295262055,13.6357,1,-0.15609026305946883,77.6001,-1,-0.24650741429456927,89.3852,91.6402,0.9121553607817141,0.02561833502638024,0.9154643410352052,-0.00944454507956128,50.906,0.034104034887832486,92.8571,0.0,0.928571,0.0,1,70.76,72.6644,74.5688,3.808799999999991,74938847256.1625,-0.0010639683011314839
3,aapl,2020-01-06,71.7928,0.1239409020083476,0.00679733900892568,2.268,1.9718,0.2962,1,1,1,123.2599,-1,-0.1822287702651064,12.885,1,-0.05826154443150952,81.3433,-1,0.04601731181301966,91.6725,90.8716,0.9388964296528559,0.024950775859718038,0.9073266072977028,-0.008458088115538762,50.005,-0.018018198180181907,85.7143,0.0,0.857143,0.0,1,71.4559,73.1578,74.8596,3.4037000000000006,75052162982.7392,0.0015098262604736853
4,aapl,2020-01-07,72.2603,0.12898551037408873,0.006469665916139306,2.2618,2.0298,0.232,1,1,1,118.8033,-1,-0.03751242600163471,10.225,1,-0.2601466992665037,72.3519,-1,-0.1242731704350542,88.8518,84.0437,0.9059193243475485,-0.03174612106901607,0.8350346060144692,-0.08124225849171324,49.424,-0.011755422466817803,100.0,0.0,1.0,0.0,1,72.3264,73.4967,74.6671,2.3406999999999982,74999994271.6236,-0.0006955828680021476
5,aapl,2020-01-08,72.7337,0.13409378331599642,0.006508674795864889,2.3256,2.089,0.2366,1,1,1,123.1027,-1,0.03492531033031774,13.5883,1,0.24751440577555694,81.1965,-1,0.10892834050728788,87.4217,87.3498,0.8891998723331124,-0.01635863864463853,0.8700387193498283,0.037848970461294706,49.6939,0.005431250113192963,100.0,21.4286,1.0,0.214286,1,72.9957,73.9674,74.9392,1.9435000000000002,75086903459.4665,0.0011574480214093018
6,aapl,2020-01-09,73.3593,0.14084438651087913,0.008527889442783746,2.4758,2.1663,0.3095,1,1,1,156.1231,-1,0.2115023337353665,15.327,1,0.11344033405102105,87.7621,-1,0.07481133655644069,86.3229,87.5753,0.8763536840431589,-0.012728951413819474,0.8724262537732044,0.0025749269485802126,50.9459,0.024575088476207162,100.0,14.2857,1.0,0.142857,1,72.242,74.4253,76.6086,4.366599999999991,75192903133.6529,0.0014097031736888148
7,aapl,2020-01-10,73.8631,0.14628069387913661,0.006820726452044366,2.579,2.2489,0.3302,1,1,1,150.169,-1,-0.03964932842330962,14.6102,1,-0.049061614488507974,88.3164,-1,0.006276297494010147,88.6456,91.0117,0.9035086180994703,0.02620209012066022,0.9088099490835786,0.037757782790564354,52.3771,0.027324918714476308,100.0,7.1429,1.0,0.071429,1,72.6329,75.0618,77.4907,4.8577999999999975,75184616716.7071,-0.00011021426067793148
8,aapl,2020-01-13,74.5331,0.15351039998618807,0.00898929468920522,2.761,2.3513,0.4097,1,1,1,160.7243,-1,0.06567333004405673,16.7612,1,0.12833210032694545,92.3946,-1,0.04413894318499128,90.993,94.3919,0.9309523224968462,0.025797588825513976,0.9445986136418741,0.03581027609360551,54.1844,0.03335461867253302,100.0,0.0,1.0,0.0,1,72.7615,75.9084,79.0554,6.293900000000008,75300267952.7776,0.0015358675236457717
9,aapl,2020-01-14,75.0551,0.15914309638601015,0.0069548904737984675,2.7879,2.4386,0.3493,1,1,1,135.5113,-1,-0.18605828443827188,13.6398,1,-0.22884499772723937,72.0894,-1,-0.28166693022829986,91.1058,87.9139,0.9322710793580647,0.0012381209538800725,0.8760112611157991,-0.07368573115286671,55.8658,0.0300971256117339,100.0,0.0,1.0,0.0,1,74.3994,76.6135,78.8276,4.428200000000004,75168370070.0483,-0.0017546992519113477
10,aapl,2020-01-15,75.4915,0.1638521169011106,0.005780783266990404,2.7508,2.501,0.2498,1,1,1,109.1634,-1,-0.24136203159667077,11.2485,1,-0.21258834511268163,66.3802,0,-0.08600757454783196,85.2903,73.5651,0.8642814470316864,-0.06818477599445658,0.7240899576384691,-0.19504901101201516,55.7143,-0.0027192300719922646,92.8571,0.0,0.928571,0.0,1,75.7342,77.0156,78.2971,2.562899999999999,75119805572.3367,-0.000646493921830354
11,aapl,2020-01-16,75.8589,0.167816585593246,0.004843202313769426,2.7672,2.5543,0.2129,1,1,1,112.0022,-1,0.025345930704932636,12.4211,1,0.09440387727334933,73.9001,-1,0.10175764308843957,75.6317,65.4159,0.7513617216791703,-0.1277057107006719,0.6378083810399062,-0.12457521795159905,55.6153,-0.0017800856958427582,85.7143,0.0,0.857143,0.0,1,76.0797,77.2924,78.5051,2.4253999999999962,75200899769.862,0.001078367383548234
12,aapl,2020-01-17,76.3843,0.17348597005390984,0.006878376839219455,2.8171,2.6068,0.2103,1,1,1,120.0739,-1,0.06722276864497607,13.9379,1,0.10882557630633034,79.1234,-1,0.06601460503466748,70.7823,73.366,0.6946668677537059,-0.06851147815202371,0.7219819394402688,0.10836218411798389,56.0763,0.008220941823907882,100.0,7.1429,1.0,0.071429,1,76.3722,77.7069,79.0416,2.669399999999996,75337979251.4166,0.001819526922764104
13,aapl,2020-01-21,76.798,0.17795004380986093,0.0053868590327873864,2.7816,2.6418,0.1398,1,1,1,104.7131,-1,-0.14669415765553687,13.0526,1,-0.067825567319921,68.5154,0,-0.15482650615773977,73.9295,83.0067,0.7314611194702526,0.04257028655678718,0.8240551239876801,0.11614363659800951,56.5401,0.008203027585731174,100.0,0.0,1.0,0.0,1,76.379,77.6876,78.9963,2.6173,75270162200.6691,-0.0009009818600722334
14,aapl,2020-01-22,77.2744,0.18309068857015837,0.006165043015539404,2.7444,2.6623,0.0821,1,1,1,100.2484,-1,-0.04453637165281434,13.6917,1,0.046677914356873206,71.0532,-1,0.035716899449989646,80.1337,84.0284,0.8039950850586485,0.07742310663303953,0.834872613656697,0.01215898434338878,57.1349,0.010410449655114463,100.0,0.0,1.0,0.0,1,76.6692,77.9353,79.2014,2.532200000000003,75197967546.1895,-0.0009600612468050317
15,aapl,2020-01-23,77.6701,0.18736053141577075,0.005094624572390212,2.714,2.6727,0.0414,1,1,1,89.5985,0,-0.11886248095671247,12.4049,1,-0.10373320220235563,74.5282,-1,0.046626646021237526,82.631,80.8579,0.8331912863841862,0.030222313659522403,0.801304197296104,-0.03921076357412206,56.3857,-0.0132870568246914,92.8571,14.2857,0.928571,0.142857,1,77.609,78.3246,79.0402,1.431200000000004,75284804863.0701,0.0011534507798558007
16,aapl,2020-01-24,77.8842,0.18967080018818827,0.002748952932687271,2.6412,2.6664,-0.0252,1,1,-1,91.9837,0,0.025930681196777227,11.9745,1,-0.03594304563864869,68.36,0,-0.0902311293153891,78.0933,69.3936,0.7801405504874607,-0.05810613714620846,0.6799232177399631,-0.16520687786769953,56.5489,0.0028859977824502924,100.0,7.1429,1.0,0.071429,1,78.0229,78.4761,78.9293,0.9063999999999908,75178117477.5897,-0.0014191281859670872
17,aapl,2020-01-27,77.8502,0.18930391957977066,-0.00043673619335603535,2.3699,2.6071,-0.2372,1,1,-1,10.7611,0,-7.547797158283075,6.5676,1,-0.8232687739813632,33.3053,0,-1.052526174512765,66.9922,50.7251,0.6503564033946297,-0.1657073510050424,0.48226607191825416,-0.36803278850115645,51.1371,-0.10582923161462045,92.8571,0.0,0.928571,0.0,1,76.1664,77.9935,79.8207,3.6543000000000063,75207497016.7791,0.0003906464163118924
18,aapl,2020-01-28,77.8682,0.18949815049010937,0.00023115983161291364,2.3023,2.5461,-0.2438,1,1,-1,63.1363,0,0.829557639582934,9.6239,1,0.31757395650412007,58.2776,0,0.42850597828325115,54.6203,43.7421,0.5057151976206259,-0.2265073608163997,0.40833191281211323,-0.15964025504033863,47.6477,-0.07323333550202835,85.7143,7.1429,0.857143,0.071429,1,76.196,78.0488,79.9016,3.705600000000004,75332633988.0858,0.0016611256593854484
