,Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
0,COST,2019-12-02,288.7702,0.06624729322150517,1.0,0.5654,1.2668,-0.7015,1,1,-1,-139.1844,1,1.0,0.4391,1,1.0,26.2625,1,1.0,53.2746,48.8373,0.5558367735102774,1.0,0.5044720123095047,1.0,19.7119,1.0,35.7143,100.0,0.357143,1.0,-1,285.3217,287.9361,290.5506,5.228899999999953,508658579.6314,1.0
1,COST,2019-12-03,287.9179,0.06165855665041064,-0.0029602188679481683,0.1755,1.0486,-0.8731,1,1,-1,-216.6991,1,0.35770660791853764,-0.3874,-1,2.13345379452762,20.0113,1,-0.3123835033206239,48.4856,37.4859,0.5040828236107809,-0.09877159404029241,0.3833467426122698,-0.30281785951517765,21.9301,0.10114864957296134,28.5714,100.0,0.285714,1.0,-1,283.2144,287.2866,291.3587,8.144299999999987,510036008.2415,0.0027006497342199885
2,COST,2019-12-04,287.3682,0.05869900192422209,-0.0019128769293191557,-0.0669,0.8255,-0.8924,-1,1,-1,-155.3529,1,-0.39488287634154223,-0.8891,-1,0.5642784838600833,30.2649,0,0.33879510588173106,40.3204,34.638,0.4158428253398751,-0.2025079116278608,0.3529581865248484,-0.08221895028581336,23.0761,0.04966177126984199,21.4286,92.8571,0.214286,0.928571,-1,282.645,286.3795,290.114,7.468999999999994,510668888.8241,0.0012393168968199927
3,COST,2019-12-05,286.6505,0.05483494438922925,-0.002503745850783373,-0.5181,0.5568,-1.0749,-1,1,-1,-186.4457,1,0.16676598065817547,-2.8086,-1,0.6834365876237272,18.4014,1,-0.6447063810362257,32.3131,24.8152,0.3293092268787689,-0.24780352241041562,0.24814386413448264,-0.39583803475289325,25.1327,0.08182964822720995,14.2857,100.0,0.142857,1.0,-1,280.6971,284.9074,289.1176,8.420500000000004,509230770.5738,-0.0028240992756182466
4,COST,2019-12-06,286.1392,0.05208213316219578,-0.001786892533424311,-0.724,0.3006,-1.0246,-1,1,-1,-138.1169,1,-0.34991228444889805,-3.3616,-1,0.16450499762018084,35.4978,0,0.4816185791795548,28.3543,25.6096,0.28652711435796574,-0.1396190348553835,0.25662052025156806,0.031019617643383714,26.9836,0.06859351606160777,7.1429,92.8571,0.071429,0.928571,-1,281.1619,283.9734,286.7848,5.6229000000000156,508934878.3487,-0.0005813950618988781
5,COST,2019-12-09,285.7405,0.049935554174872714,-0.0013953219792084755,-0.8609,0.0683,-0.9292,-1,1,-1,-105.6464,1,-0.3073507473988701,-2.4651,-1,-0.3636769299419902,37.36,0,0.04984475374732338,27.4401,31.8953,0.27664750253960707,-0.033316205115870474,0.3236921684831438,0.1970729229698419,27.5114,0.01918477431173983,0.0,85.7143,0.0,0.857143,-1,281.3764,283.5448,285.7132,4.3367999999999824,507866470.3486,-0.002103718324556178
6,COST,2019-12-10,285.4263,0.04824391856459729,-0.0011008095609969057,-0.9108,-0.1275,-0.7833,-1,-1,-1,-91.6344,0,-0.1529120068445911,-1.682,-1,-0.4655766944114151,43.3915,0,0.139001878248044,36.7762,52.8235,0.3775412280891349,0.25386255241161404,0.547006814190076,0.39619108919325685,27.9865,0.01697604202025981,0.0,78.5714,0.0,0.785714,-1,281.3739,283.5659,285.758,4.3840999999999894,508100685.0774,0.000460961253701872
7,COST,2019-12-11,284.8555,0.045170762592778906,-0.0020038229909551323,-0.9764,-0.2973,-0.6791,-1,-1,-1,-96.6058,0,0.05146067834436444,-1.7304,-1,0.027970411465557097,39.6928,0,-0.09318314656562406,48.9456,62.118,0.5090539693518058,0.24863113333987114,0.6461839041702502,0.1496265172735761,29.152,0.03998010428100993,0.0,71.4286,0.0,0.714286,-1,281.5626,283.3315,285.1003,3.5377000000000294,508737942.168,0.0012526234781786993
8,COST,2019-12-12,284.5268,0.04340105977579091,-0.0011552514561019426,-0.8602,-0.4099,-0.4503,-1,-1,-1,-55.6198,0,-0.7368958536348568,-1.8356,-1,0.05731096099368052,58.4899,0,0.3213734337039386,62.8383,73.5734,0.6591901355177556,0.22108650297668775,0.7684189072967107,0.15570029385620351,28.7744,-0.01312277580071178,28.5714,64.2857,0.285714,0.642857,-1,282.4909,284.1463,285.8017,3.310799999999972,510856752.1686,0.004147561897940346
9,COST,2019-12-13,283.7639,0.039293647913667275,-0.0026885026601340127,-1.1787,-0.5636,-0.6151,-1,-1,-1,-138.4462,1,0.5982569402410467,-4.1761,-1,0.5604511386221595,28.6057,1,-1.0446938896793296,65.5383,60.9235,0.6883685996498585,0.04119728464119469,0.6334379755047687,-0.20763580555943126,30.5823,0.0591158938340151,21.4286,100.0,0.214286,1.0,-1,280.1213,283.5544,286.9875,6.866199999999992,510539201.3557,-0.0006219910480072313
10,COST,2019-12-16,283.3901,0.03728112916407802,-0.001319029846137745,-1.2898,-0.7089,-0.581,-1,-1,-1,-94.3361,0,-0.4675845196059621,-3.3458,-1,-0.24816187458903693,40.0206,0,0.28522560881146214,64.152,57.9591,0.6733870793438088,-0.021609614665170307,0.6018063045663397,-0.051146411866298785,32.2095,0.05051925674102357,14.2857,92.8571,0.142857,0.928571,-1,279.5963,283.2354,286.8745,7.278200000000027,510075117.1088,-0.0009098351033677888
11,COST,2019-12-17,283.3786,0.03721921379323718,-4.058175176252645e-05,-1.2051,-0.8081,-0.397,-1,-1,-1,-60.5601,0,-0.5577269522342269,-2.952,-1,-0.13340108401084017,52.0684,0,0.23138410244985436,57.1025,52.4249,0.5972042708626019,-0.12345343899128763,0.5427535474122938,-0.105564340609138,31.9817,-0.007122823364611589,7.1429,85.7143,0.071429,0.857143,-1,279.5958,283.1912,286.7866,7.190800000000024,511504205.0239,0.002793892799049823
12,COST,2019-12-18,282.9317,0.034813128642911896,-0.001579533152347467,-1.407,-0.9279,-0.4791,-1,-1,-1,-93.1435,0,0.3498193647436483,-3.431,-1,0.13960944331098807,35.8914,0,-0.4507207854806444,54.2697,52.4249,0.5665906585687424,-0.052198556468895145,0.5427535474122938,0.0,32.2025,0.006856610511606259,0.0,78.5714,0.0,0.785714,-1,278.4211,282.532,286.6429,8.221799999999973,508265951.6588,-0.006371179014709631
13,COST,2019-12-19,282.9904,0.03512916623146457,0.0002074275311107528,-1.4082,-1.024,-0.3842,-1,-1,-1,-96.6586,0,0.036366138139803425,-2.2823,-1,-0.5033080664242211,46.3158,0,0.22507222157449522,53.835,56.655,0.5618929258434738,-0.008074672610755075,0.5878908875946741,0.07466419556967611,32.5508,0.010700197844599881,0.0,71.4286,0.0,0.714286,-1,279.2049,281.8344,284.4639,5.2590000000000146,510636733.9582,0.004642796222321994
14,COST,2019-12-20,282.9788,0.03506671246609452,-4.0992470107456886e-05,-1.3072,-1.0806,-0.2266,-1,-1,-1,-57.7955,0,-0.6724243236930213,-1.8117,-1,-0.25975603024783356,52.2264,0,0.11317264831579422,54.5826,54.6678,0.569972118356496,0.013696672565982539,0.5666864426854695,-0.03635046590497517,31.6823,-0.027412782531571284,0.0,64.2857,0.0,0.642857,-1,279.9869,282.4032,284.8195,4.8326000000000136,514677811.4782,0.00785166453629254
15,COST,2019-12-23,282.8011,0.034109985387972615,-0.0006283568203941176,-1.3297,-1.1304,-0.1992,-1,-1,-1,-63.3944,0,0.08831852655755083,-2.0046,-1,0.09622867404968564,44.0069,0,-0.18677752806946174,55.9143,56.42,0.5843635852767631,0.023816805361061445,0.5853833168651739,0.031056362991846897,30.6199,-0.034696390256009985,50.0,57.1429,0.5,0.571429,-1,279.9234,282.3667,284.8101,4.886699999999962,513689651.8634,-0.0019236510044839423
16,COST,2019-12-24,282.6521,0.03330777753968788,-0.0005271498071303942,-1.2616,-1.1567,-0.105,-1,-1,-1,-55.042,0,-0.15174593946440892,-1.6118,-1,-0.243702692641767,49.9647,0,0.11924018356960012,55.0219,53.9781,0.5747195625391749,-0.016218996435964497,0.5593269893572296,-0.0452387171834504,29.6638,-0.032231204363567814,42.8571,50.0,0.42857100000000004,0.5,-1,280.1915,282.113,284.0346,3.8430999999999926,514013805.6706,0.0006306324920147085
