Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,AAPL_daily_trend,State_x,New Cases,Case 7-Day Moving Avg,Historic Cases,State_y,New Deaths,Death 7-Day Moving Avg,Historic Deaths
AAPL,2019-12-02,65.3814,0.0547580098669302,1.0,1.4823,1.7331,-0.2508,1,1,-1,63.7315,0,1.0,3.5666,1,1.0,46.5802,0,1.0,77.2977,72.1446,0.7708391058173779,1.0,0.7090500789315703,1.0,32.4193,1.0,100.0,0.0,1.0,0.0,1,64.872,65.6168,66.3616,1.4895999999999958,74221840974.3912,1.0,65.93560767385907,66.17737675593621,64.99321794661957,65.16837310791016,94487200.0,0.0,0.0,65.16837310791016,1.0,0.1265139275945556,80,,,,,,,,
AAPL,2019-12-03,65.1927,0.0527218224902129,-0.002894495856131,1.2839,1.6433,-0.3594,1,1,-1,-102.8215,1,1.619826592687327,1.0563,1,-2.376502887437281,30.5825,0,-0.5230998119839777,67.3732,48.272,0.6548107151333195,-0.1473063473309863,0.4562932972220957,-0.4945434206165064,31.6288,-0.0249930443140429,92.8571,100.0,0.928571,1.0,-1,63.8062,65.2753,66.7445,2.938300000000005,74333547129.2518,0.0015027690615431,63.725166679192135,64.02614140674015,63.226834683516365,64.00640869140625,114430400.0,0.0,0.0,-1.1619644165039062,-0.01783018910998204,0.17898052759671287,66,,,,,,,,
AAPL,2019-12-04,65.0805,0.051511116482435,-0.0017240187152834,1.1589,1.5464,-0.3875,1,1,-1,-27.8069,0,-2.697697334114914,2.095,1,0.495799522673031,42.5698,0,0.281591644781042,51.3455,33.6198,0.4674291606603605,-0.3121539375407776,0.3011596747024052,-0.4358205581234868,28.851,-0.0962808914768985,85.7143,92.8571,0.857143,0.928571,-1,63.5721,65.1495,66.7269,3.1548000000000016,74320507892.9409,-0.0001754460065003,64.40607268167437,64.95867914658412,64.30985591571326,64.57135772705078,67181600.0,0.0,0.0,0.5649490356445312,0.008826444838802266,0.05467831480328313,59,,,,,,,,
AAPL,2019-12-05,65.1394,0.0521466831834877,0.0009042146534968,1.1234,1.4618,-0.3384,1,1,-1,42.7251,0,1.6508328827785073,3.5485,1,0.4096096942370015,57.8326,0,0.2639134329080829,43.9268,49.8885,0.3806963457107082,-0.1688877860440551,0.4734083721462082,0.3261012056886858,26.7417,-0.0788768103748077,78.5714,85.7143,0.785714,0.857143,-1,63.6737,65.038,66.4024,2.7287000000000035,74380507653.9791,0.0008066597409809,65.07709612241638,65.59516843231918,64.8155943188013,65.51868438720703,74424400.0,0.0,0.0,0.94732666015625,0.014671004196019683,0.0737326837358328,65,,,,,,,,
AAPL,2019-12-06,65.354,0.0544623472589702,0.0032836551703033,1.1837,1.4062,-0.2225,1,1,-1,172.6486,-1,0.7525314424791165,4.348,1,0.1838776448942041,70.7943,-1,0.1830895990213902,52.422,73.7576,0.4800146372658709,0.1620540994239059,0.7261280967803754,0.3236154647114331,26.6645,-0.0028952352378631,100.0,78.5714,1.0,0.785714,1,63.3258,65.2087,67.0916,3.765799999999999,74470051630.3708,0.001202415930046,65.98741105528973,66.85579356020574,65.94299927133666,66.78424835205078,106075600.0,0.0,0.0,1.26556396484375,0.01931607718745433,0.15700070742251698,62,,,,,,,,
AAPL,2019-12-09,65.4808,0.055830596116245,0.0019364454924191,1.1428,1.3535,-0.2107,1,1,-1,100.9685,-1,-0.709925372764773,2.6063,1,-0.6682653570195295,55.1414,0,-0.2838683820142399,68.7674,82.656,0.6711104564091233,0.237691115266827,0.8203420050418798,0.1076558265582657,25.4228,-0.0488419843604953,92.8571,71.4286,0.928571,0.714286,1,63.3964,65.3449,67.2935,3.8970999999999942,74429181310.3941,-0.0005491168820768,66.60909216154926,66.80644942314173,65.35338832757701,65.84925842285156,128042400.0,0.0,0.0,-0.9349899291992188,-0.014000156508020466,0.21479099729211604,59,,,,,,,,
AAPL,2019-12-10,65.5329,0.0563927866956142,0.0007950205164123,1.1285,1.3085,-0.18,1,1,-1,110.6418,-1,0.0874289825364373,2.3951,1,-0.0881800342365664,59.7233,0,0.0767188015397676,79.4571,81.9579,0.7960848821127232,0.1345342329382774,0.8129507066784261,-0.0085177877910489,24.3052,-0.0459819297928015,85.7143,64.2857,0.857143,0.642857,1,64.3078,65.7904,67.2731,2.965299999999999,74451329865.7298,0.0002974903923897,66.26371080649604,66.62636059637104,65.58774677602149,66.2341079711914,90420400.0,0.0,0.0,0.38484954833984375,0.005844402162717296,0.1158149841507365,58,,,,,,,,
AAPL,2019-12-11,65.6928,0.0581182046157897,0.0024340567002777,1.1495,1.2767,-0.1272,1,1,-1,152.8859,-1,0.2763112883529481,3.3631,1,0.2878296809491244,66.0805,0,0.0962038725493905,81.9716,81.3008,0.8254821704773829,0.0306752582601778,0.805993505482859,-0.008082331293173,23.704,-0.0253628079649003,100.0,57.1429,1.0,0.571429,1,65.2234,66.236,67.2486,2.025199999999998,74510196601.9236,0.0007900494010008,66.31553395998698,66.88047998434875,66.23905743823872,66.79906463623047,78756800.0,0.0,0.0,0.5649566650390625,0.008529693874412728,0.08513036805175733,62,,,,,,,,
AAPL,2019-12-12,65.7821,0.0590818057431921,0.0013575121499616,1.1664,1.2546,-0.0882,1,1,-1,139.5465,-1,-0.0955910753763081,2.643,1,-0.2724555429436248,67.9838,0,0.0279963756071299,83.004,85.7532,0.8375520692674704,0.0124379547973592,0.853134340368178,0.0519210944897684,23.728,0.0010114632501686,100.0,50.0,1.0,0.5,1,65.6866,66.5261,67.3656,1.679000000000002,74590111569.625,0.0010713882312242,66.06142845240132,67.24065598545297,65.9479483839239,66.96928405761719,137310400.0,0.0,0.0,0.17021942138671875,0.0025482306124148205,0.2391732653744696,59,,,,,,,,
AAPL,2019-12-13,65.9769,0.061183815817302,0.0029525485435053,1.239,1.2515,-0.0125,1,1,-1,193.1321,-1,0.2774556896549046,4.7632,1,0.4451209271078267,76.7172,-1,0.1138388783740804,86.8219,93.4115,0.8821875463990806,0.043973928237,0.9342183974614844,0.0819845522232273,24.7081,0.0396671536864429,100.0,42.8571,1.0,0.428571,1,65.3584,66.7452,68.1319,2.7734999999999985,74714662160.3814,0.0016670167160635,66.96927562134155,67.91660407205984,66.83852473558687,67.87960052490234,133587600.0,0.0,0.0,0.9103164672851562,0.013593044633745274,0.2293793176384979,60,,,,,,,,
