Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,COST_daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
COST,2019-12-16,283.3901,0.03728113,-0.00131903,-1.2898,-0.7089,-0.581,-1,-1,-1,-94.3361,0,-0.46758452,-3.3458,-1,-0.24816187,40.0206,0,0.28522561,64.152,57.9591,0.67338708,-0.02160961,0.6018063,-0.05114641,32.2095,0.05051926,14.2857,92.8571,0.142857,0.928571,-1,279.5963,283.2354,286.8745,7.2782,0.0,510075117.1088,-0.00090984,281.45612478,282.82963671,281.28324132,281.90756226,2410000.0,0.0,0.0,1.56564331,0.00558476,0.24690443,60,,,,,,
COST,2019-12-17,283.3786,0.03721921,-4.058e-05,-1.2051,-0.8081,-0.397,-1,-1,-1,-60.5601,0,-0.55772695,-2.952,-1,-0.13340108,52.0684,0,0.2313841,57.1025,52.4249,0.59720427,-0.12345344,0.54275355,-0.10556434,31.9817,-0.00712282,7.1429,85.7143,0.071429,0.857143,-1,279.5958,283.1912,286.7866,7.1908,0.0,511504205.0239,0.00279389,281.90756793,284.596964,281.18719084,283.87658691,2474100.0,0.0,0.0,1.96902466,0.00698465,0.25538417,60,,,,,,
COST,2019-12-18,282.9317,0.03481313,-0.00157953,-1.407,-0.9279,-0.4791,-1,-1,-1,-93.1435,0,0.34981936,-3.431,-1,0.13960944,35.8914,0,-0.45072079,54.2697,52.4249,0.56659066,-0.05219856,0.54275355,0.0,32.2025,0.00685661,0.0,78.5714,0.0,0.785714,-1,278.4211,282.532,286.6429,8.2218,0.0,508265951.6588,-0.00637118,284.29918539,284.6545667,280.29390554,280.34191895,3309800.0,0.0,0.0,-3.53466797,-0.01245142,0.36593819,57,,,,,,
COST,2019-12-19,282.9904,0.03512917,0.00020743,-1.4082,-1.024,-0.3842,-1,-1,-1,-96.6586,0,0.03636614,-2.2823,-1,-0.50330807,46.3158,0,0.22507222,53.835,56.655,0.56189293,-0.00807467,0.58789089,0.0746642,32.5508,0.0107002,0.0,71.4286,0.0,0.714286,-1,279.2049,281.8344,284.4639,5.259,0.0,510636733.9582,0.0046428,280.52442926,282.20530907,279.98655007,282.10925293,2333600.0,0.0,0.0,1.76733398,0.00630421,0.23679754,59,,,,,,
COST,2019-12-20,282.9788,0.03506671,-4.099e-05,-1.3072,-1.0806,-0.2266,-1,-1,-1,-57.7955,0,-0.67242432,-1.8117,-1,-0.25975603,52.2264,0,0.11317265,54.5826,54.6678,0.56997212,0.01369667,0.56668644,-0.03635047,31.6823,-0.02741278,0.0,64.2857,0.0,0.642857,-1,279.9869,282.4032,284.8195,4.8326,0.0,514677811.4782,0.00785166,282.24372367,283.36749542,281.21597875,283.18499756,4866500.0,0.0,0.0,1.07574463,0.00381322,0.57187268,66,,,,,,
COST,2019-12-23,282.8011,0.03410999,-0.00062836,-1.3297,-1.1304,-0.1992,-1,-1,-1,-63.3944,0,0.08831853,-2.0046,-1,0.09622867,44.0069,0,-0.18677753,55.9143,56.42,0.58436359,0.02381681,0.58538332,0.03105636,30.6199,-0.03469639,50.0,57.1429,0.5,0.571429,-1,279.9234,282.3667,284.8101,4.8867,0.0,513689651.8634,-0.00192365,283.26190813,283.64610342,281.45615802,281.72509766,1309800.0,0.0,0.0,-1.4598999,-0.00515529,0.10135993,83,,,,,,
COST,2019-12-24,282.6521,0.03330778,-0.00052715,-1.2616,-1.1567,-0.105,-1,-1,-1,-55.042,0,-0.15174594,-1.6118,-1,-0.24370269,49.9647,0,0.11924018,55.0219,53.9781,0.57471956,-0.016219,0.55932699,-0.04523872,29.6638,-0.0322312,42.8571,50.0,0.428571,0.5,-1,280.1915,282.113,284.0346,3.8431,0.0,514013805.6706,0.00063063,282.3013967,282.82007645,281.77310255,282.60876465,543600.0,0.0,0.0,0.88366699,0.00313663,0.0,100,,,,,,
COST,2019-12-26,282.6934,0.03353013,0.00014609,-1.0789,-1.1411,0.0622,-1,-1,1,-7.3753,0,-6.46301845,-1.8291,-1,0.1188016,58.8814,0,0.15143492,58.29,64.4719,0.61003739,0.05606622,0.67130123,0.16276548,27.4723,-0.07977126,35.7143,42.8571,0.357143,0.428571,-1,281.2152,282.8549,284.4945,3.2793,0.0,515116839.6706,0.00214133,282.85842573,284.04946899,282.29173267,284.04946899,1101800.0,0.0,0.0,1.44070435,0.00509788,0.07384379,70,,,,,,
COST,2019-12-27,282.3831,0.0318595,-0.00109886,-1.0477,-1.1224,0.0747,-1,-1,1,-23.4846,0,0.68595164,-2.2111,-1,0.17276469,47.4628,0,-0.24057999,61.0341,64.6523,0.63969244,0.04496011,0.67322619,0.00279031,26.0931,-0.05285689,28.5714,35.7143,0.285714,0.357143,-1,281.3833,282.9317,284.4802,3.0969,-1.0,514535511.613,-0.00112981,284.52014542,284.59697275,281.60020865,282.49346924,1439100.0,0.0,0.0,-1.55599976,-0.00547792,0.11846492,66,,,,,,
COST,2019-12-30,282.6973,0.03355113,0.00111144,-0.9323,-1.0844,0.1521,-1,-1,1,8.3846,0,3.80092074,-1.5577,-1,-0.4194646,54.4787,0,0.12878244,65.5203,67.4367,0.68817408,0.06847038,0.70293717,0.04128909,24.8518,-0.04994809,21.4286,28.5714,0.214286,0.285714,-1,281.3689,282.9913,284.6137,3.2448,0.0,515177244.8951,0.00124566,282.5799436,283.93422679,282.06126387,283.4828186,1238900.0,0.0,0.0,0.98934937,0.0035022,0.09198063,64,,,,,,
