,COST,COST,COST,COST,COST,COST,SBUX,SBUX,SBUX,SBUX,SBUX,SBUX,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,ASML,ASML,ASML,ASML,ASML,ASML
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,296.9200134277344,300.6499938964844,296.79998779296875,299.8699951171875,288.0259704589844,1778600,90.62000274658203,91.72000122070312,90.20999908447266,91.08000183105469,88.16681671142578,7382500,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,78.19414520263672,121532000,298.67999267578125,301.6199951171875,297.5,301.45001220703125,297.9026794433594,405700
2020-01-14,299.25,301.0,298.5799865722656,299.75,287.91070556640625,1459900,91.19000244140625,91.44000244140625,90.86000061035156,90.98999786376953,88.07969665527344,5855200,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,77.13826751708984,161954400,299.1499938964844,305.8999938964844,298.4700012207031,302.54998779296875,298.9897155761719,609600
2020-01-15,298.3500061035156,301.0400085449219,298.0400085449219,300.82000732421875,288.9384460449219,1604000,91.0,92.05999755859375,91.0,91.54000091552734,88.61209106445312,6145300,77.9625015258789,78.875,77.38749694824219,77.83499908447266,76.80769348144531,121923600,301.6000061035156,302.95001220703125,299.75,300.0799865722656,296.5487976074219,505300
2020-01-16,301.3900146484375,304.05999755859375,300.9800109863281,303.0299987792969,291.0611572265625,1758600,91.98999786376953,92.61000061035156,91.62999725341797,92.58000183105469,89.61883544921875,5180300,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,77.76982116699219,108829200,302.54998779296875,302.94000244140625,299.54998779296875,301.0799865722656,297.5370178222656,547500
2020-01-17,303.3999938964844,305.29998779296875,303.0299987792969,304.67999267578125,292.6459655761719,2506500,92.93000030517578,93.75,92.80999755859375,93.62000274658203,90.62555694580078,6962800,79.06749725341797,79.68499755859375,78.75,79.68250274658203,78.63081359863281,137816400,300.8999938964844,301.04998779296875,299.2699890136719,300.0400085449219,296.5093078613281,743900
2020-01-21,306.20001220703125,313.3399963378906,305.760009765625,313.260009765625,300.8870849609375,3585900,92.83000183105469,93.5999984741211,92.19000244140625,92.52999877929688,89.57044219970703,7094600,79.29750061035156,79.75499725341797,79.0,79.14250183105469,78.09793853759766,110843200,298.1099853515625,301.25,297.4700012207031,298.3999938964844,294.8885803222656,573000
2020-01-22,313.3999938964844,313.55999755859375,310.2099914550781,311.8900146484375,299.57122802734375,2218900,93.13999938964844,93.75,92.47000122070312,92.52999877929688,89.57044219970703,6157400,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,78.376708984375,101832400,300.55999755859375,301.6600036621094,296.010009765625,296.25,292.7638854980469,1108600
2020-01-23,312.0199890136719,313.3999938964844,310.7300109863281,312.8800048828125,300.5221252441406,1535900,91.91999816894531,93.8499984741211,90.73999786376953,93.75,90.75141143798828,6100600,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,78.754150390625,104472000,296.92999267578125,297.1000061035156,291.55999755859375,294.32000732421875,290.85662841796875,713000
2020-01-24,314.0199890136719,314.2799987792969,309.1000061035156,310.510009765625,298.2457275390625,1986100,94.0,94.12999725341797,91.33999633789062,92.02999877929688,89.08642578125,7815500,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,78.52719116210938,146537600,296.8900146484375,299.3299865722656,294.489990234375,295.8299865722656,292.34881591796875,977800
2020-01-27,306.1499938964844,311.7699890136719,305.6499938964844,309.45001220703125,297.2275695800781,2265100,88.62999725341797,89.44999694824219,87.55000305175781,88.7300033569336,85.89197540283203,11066500,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,76.21807098388672,161940000,287.1600036621094,288.6199951171875,283.7699890136719,284.2799987792969,280.9347229003906,889100
2020-01-28,310.510009765625,311.7099914550781,309.1000061035156,310.8500061035156,298.57232666015625,1571700,89.05000305175781,89.19000244140625,87.72000122070312,88.5999984741211,85.7661361694336,11922400,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,78.37423706054688,162234000,286.2300109863281,290.260009765625,285.1600036621094,290.17999267578125,286.7652893066406,1636100
2020-01-29,310.8599853515625,311.9700012207031,309.3900146484375,309.5799865722656,297.3524475097656,1713700,88.1500015258789,88.44000244140625,85.5999984741211,86.72000122070312,83.9462661743164,17678700,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,80.0147933959961,216229200,296.07000732421875,298.2900085449219,293.7099914550781,296.1400146484375,292.6551818847656,965500
2020-01-30,308.8399963378906,309.6400146484375,306.6700134277344,309.4700012207031,297.2467956542969,1232600,85.44999694824219,86.58999633789062,84.69000244140625,85.83999633789062,83.09440612792969,12224900,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,79.89884948730469,126743200,290.7900085449219,294.70001220703125,290.5400085449219,294.3800048828125,290.9158935546875,794100
2020-01-31,308.54998779296875,309.17999267578125,304.55999755859375,305.5199890136719,293.4527893066406,1837000,85.79000091552734,85.98999786376953,84.5199966430664,84.83000183105469,82.11671447753906,11693900,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,76.35623168945312,199588400,288.0,288.25,280.1700134277344,280.6600036621094,277.3573303222656,1272600
2020-02-03,307.0,308.5799865722656,301.6700134277344,302.0,290.07183837890625,2816800,85.06999969482422,86.79000091552734,85.06999969482422,86.01000213623047,83.25897979736328,9090600,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,76.14653015136719,173788400,283.6300048828125,288.8500061035156,283.32000732421875,288.1600036621094,284.7690734863281,823200
2020-02-04,304.57000732421875,305.9100036621094,302.760009765625,304.8999938964844,292.8573303222656,1982300,87.13999938964844,89.0,86.62000274658203,88.37999725341797,85.55316162109375,9997100,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,78.6604232788086,136616400,294.9100036621094,299.260009765625,294.2300109863281,299.2300109863281,295.7088317871094,795300
2020-02-05,307.0,309.5899963378906,305.3999938964844,308.95001220703125,296.74737548828125,1731800,88.87999725341797,89.19999694824219,86.62999725341797,87.55999755859375,85.1544189453125,9982700,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,79.30183410644531,118826800,307.3500061035156,307.3500061035156,303.04998779296875,306.32000732421875,302.71539306640625,1042000
2020-02-06,309.3500061035156,311.8399963378906,307.8500061035156,310.6099853515625,298.97076416015625,1917900,87.6500015258789,87.69999694824219,86.1500015258789,86.1500015258789,83.78317260742188,8901400,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,80.22942352294922,105425600,307.5299987792969,309.6099853515625,306.6199951171875,309.54998779296875,305.9073486328125,698000
2020-02-07,310.0,313.80999755859375,309.1199951171875,313.6300048828125,301.87762451171875,1903500,85.76000213623047,86.62000274658203,85.31999969482422,86.41999816894531,84.0457534790039,8073900,80.59249877929688,80.8499984741211,79.5,80.00749969482422,79.1388931274414,117684000,304.6700134277344,305.6300048828125,303.20001220703125,304.9700012207031,301.3812561035156,1775900
2020-02-10,313.760009765625,316.94000244140625,312.6000061035156,313.7900085449219,302.0316162109375,2336300,86.43000030517578,87.62000274658203,86.16999816894531,87.52999877929688,85.125244140625,7289300,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,79.51475524902344,109348800,304.0400085449219,309.70001220703125,304.0,309.67999267578125,306.03582763671875,373000
2020-02-11,314.0299987792969,314.42999267578125,310.4700012207031,310.67999267578125,299.0381164550781,2047500,87.86000061035156,88.2300033569336,87.3499984741211,87.51000213623047,85.10580444335938,5098500,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,79.03502655029297,94323200,313.0400085449219,316.2699890136719,313.010009765625,316.010009765625,312.2913818359375,789900
2020-02-12,310.7699890136719,315.4800109863281,310.7699890136719,315.1199951171875,303.3117370605469,1384600,87.70999908447266,89.0999984741211,87.38999938964844,88.56999969482422,86.13668060302734,7747800,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,80.91192626953125,113730400,315.6300048828125,317.7099914550781,315.25,317.44000244140625,313.70452880859375,656100
