Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,Chaikin_AD,Chaikin_AD_fluc_pctg
PFF,2019-12-02,33.818,0.5685849760512189,,-0.0156,0.0004,-0.016,-1,1,-1,-143.3699,1,,-1.033,-1,,20.2111,1,,51.2851,25.731,0.5012976595442169,,0.2308990742083135,,18.8023,,85.7143,0.0,0.857143,0.0,1,33.569,33.8093,34.0495,0.48049999999999926,302481164.3894,
PFF,2019-12-03,33.7884,0.566210155566788,-0.0008752735229757812,-0.0341,-0.0065,-0.0276,-1,-1,-1,-186.7392,1,0.30249933912208915,-1.2194,-1,0.1804453049370766,18.7419,1,-0.07269272825328643,30.6023,9.2339,0.28184358905254936,-0.40329062437238106,0.06006151233353354,-0.641137149741557,21.932,0.16645304031953537,78.5714,100.0,0.785714,1.0,-1,33.4442,33.75,34.0559,0.611699999999999,304088988.3913,0.005315451641908454
PFF,2019-12-04,33.766,0.56441299411911,-0.0006629494145921274,-0.0446,-0.0141,-0.0304,-1,-1,-1,-113.344,1,-0.39303584892727406,-0.7133,-1,-0.4150401836969001,29.4293,1,0.570241010783325,16.5319,14.6309,0.13255013973978902,-0.45978243465360447,0.11595074871072633,0.5844767649638831,23.4009,0.06697519606055086,71.4286,92.8571,0.714286,0.928571,-1,33.4163,33.6872,33.9582,0.5418999999999983,299011944.3844,-0.016695915342935404
PFF,2019-12-05,33.7419,0.5624794409544212,-0.0007137357104779105,-0.0522,-0.0217,-0.0305,-1,-1,-1,-98.2857,0,-0.13285484895539235,-0.873,-1,0.22388896677414824,29.4293,1,0.0,15.9177,23.8884,0.12603319377038535,-0.037152414423024596,0.21181782407886832,0.6327361953126602,24.7229,0.05649355366673928,64.2857,85.7143,0.642857,0.857143,-1,33.4552,33.628,33.8009,0.3457000000000008,295718280.8798,-0.011015156974350704
PFF,2019-12-06,33.7232,0.5609791320672971,-0.000554207083774257,-0.0547,-0.0283,-0.0264,-1,-1,-1,-86.7773,0,-0.11709129608885126,-0.015,-1,-0.9828178694158075,39.3934,0,0.3385775400706098,24.7766,35.8103,0.22003021859674513,0.5565439730614347,0.3352763912764327,0.4990664925235678,26.3488,0.06576493857921205,57.1429,78.5714,0.571429,0.785714,-1,33.5425,33.5961,33.6498,0.10730000000000217,298271842.7356,0.00863511666645294
PFF,2019-12-09,33.71,0.5599200904999158,-0.0003914219291169776,-0.0546,-0.0336,-0.021,-1,-1,-1,-58.1991,0,-0.32932806160136346,0.0123,1,-1.8199999999999998,44.308,0,0.12475693897962603,37.7567,53.5713,0.3577550808198917,0.5238854402944716,0.5192024107864052,0.49597462182668123,27.0476,0.026521131892154427,50.0,71.4286,0.5,0.714286,-1,33.5415,33.6107,33.68,0.1385000000000005,296488212.4444,-0.005979881556507038
PFF,2019-12-10,33.6968,0.5588610489325344,-0.00039157520023724884,-0.0488,-0.0366,-0.0122,-1,-1,-1,-41.9462,0,-0.2792637686837082,0.419,1,33.0650406504065,58.8919,0,0.3291482350817008,55.6762,77.6471,0.5478892607266469,0.47460450727950265,0.768522047097322,0.44941601193176184,27.1614,0.004207397329153094,42.8571,64.2857,0.42857100000000004,0.642857,-1,33.556,33.6436,33.7312,0.1752000000000038,299139823.4444,0.008943394336451917
PFF,2019-12-11,33.6891,0.5582432746848952,-0.00022850834500604857,-0.0342,-0.0362,0.0019,-1,-1,1,21.4067,0,-1.5103370507936358,0.4733,1,0.12959427207637236,74.4337,-1,0.2639038645382472,74.197,91.3725,0.7444035116386162,0.3326520128888107,0.9106569600066277,0.17676642141174634,24.7479,-0.08885771720161696,35.7143,57.1429,0.357143,0.571429,-1,33.5244,33.691,33.8577,0.33330000000000126,301655923.846,0.008411118160827761
PFF,2019-12-12,33.6851,0.5579223529978096,-0.00011873276519719696,-0.021,-0.0331,0.0121,-1,-1,1,43.4605,0,1.030228853583224,0.0148,1,-0.9687301922670611,76.1665,-1,0.02327977784256321,88.4023,96.1874,0.895128312321081,0.19145383236518987,0.9605181948097674,0.052695285780732654,22.9135,-0.07412346098052773,28.5714,50.0,0.285714,0.5,-1,33.5605,33.7421,33.9238,0.3633000000000024,304143048.8497,0.008244906885931647
PFF,2019-12-13,33.7038,0.5594226618849336,0.0005551415907924454,-0.0002,-0.0265,0.0264,-1,-1,1,102.5254,-1,1.359047871055326,0.3384,1,21.864864864864863,85.0392,-1,0.11649084571301024,94.2975,95.3327,0.9576791099095352,0.06668604776120081,0.9516672534846634,-0.008885779218483856,23.1431,0.010020293713313172,100.0,42.8571,1.0,0.42857100000000004,1,33.583,33.8115,34.0401,0.45710000000000406,306138054.1427,0.006559430835409048
PFF,2019-12-16,33.7558,0.5635946438170426,0.0015428527347064603,0.0256,-0.0161,0.0417,1,-1,1,166.9728,-1,0.6285993519654641,0.5807,1,0.716016548463357,89.5533,-1,0.05308257838737899,95.8354,95.9863,0.9739969399426611,0.0163090219783134,0.9584356812956941,0.006855989602728102,24.7995,0.07157208844104714,100.0,35.7143,1.0,0.357143,1,33.6379,33.9009,34.164,0.5260999999999996,308668571.4381,0.008265935126837955
PFF,2019-12-17,33.8206,0.5687935751478245,0.0019196701011381212,0.0535,-0.0022,0.0557,1,-1,1,200.0354,-1,0.19801189175722034,1.0393,1,0.7897365248837608,92.0806,-1,0.02822118224565718,96.3857,97.8381,0.9798358773685204,0.005742137039131604,0.9776122030528342,0.019292336510522826,27.0234,0.08967519506441664,100.0,28.5714,1.0,0.285714,1,33.7164,33.9977,34.2789,0.5625,312969655.4381,0.013934311420048587
