Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-02,45.77443008332722,45.77443008332722,45.303620401474625,45.351661682128906,193700,0.0,0
2019-12-03,44.938509510467334,45.03459209195846,44.64064764333999,44.948116302490234,243800,0.0,0
2019-12-04,45.12107904738639,45.33246517735651,45.08264453915247,45.25559616088867,153000,0.0,0
2019-12-05,45.33245591673783,45.342062709175586,45.140287080141356,45.322845458984375,193600,0.0,0
2019-12-06,45.69757685492968,45.83209394246904,45.66874914666001,45.73600769042969,149000,0.0,0
2019-12-09,45.678356209545065,45.784049246275,45.63031491975386,45.64952850341797,165700,0.0,0
2019-12-10,45.65914721625369,45.68797126227703,45.457371563458025,45.534236907958984,222400,0.0,0
2019-12-11,45.56305006574786,45.70717759205458,45.53422602661262,45.69757080078125,184100,0.0,0
2019-12-12,45.67835770480222,46.22603649004399,45.620705955976284,46.13956069946289,201100,0.0,0
2019-12-13,46.12033825397259,46.33172431053749,45.94738669229498,46.14916229248047,252300,0.0,0
2019-12-16,46.341333874395055,46.51428544642107,46.341333874395055,46.37976837158203,186600,0.0,0
2019-12-17,46.44703435686565,46.50468611189068,46.389382601840616,46.408599853515625,273300,0.0,0
2019-12-18,46.485464221659726,46.485464221659726,46.30290218162209,46.331729888916016,181400,0.0,0
2019-12-19,46.34133125918202,46.44702428782387,46.30289676416404,46.398983001708984,160800,0.0,0
2019-12-20,46.61998063604493,46.78332175866698,46.61998063604493,46.72567367553711,261000,0.0,0
2019-12-23,46.82581951407359,46.82581951407359,46.662124633789055,46.66212463378906,207200,0.104,0
2019-12-24,46.7295282612403,46.7295282612403,46.613981308430155,46.63323974609375,109100,0.0,0
2019-12-26,46.75840863877533,46.80655288696289,46.6910059566786,46.80655288696289,182000,0.0,0
2019-12-27,46.94135916913349,46.94135916913349,46.76803693373226,46.81618118286133,223500,0.0,0
2019-12-30,46.87013007044676,46.87013007044676,46.55227043217789,46.62932586669922,244200,0.016,0
2019-12-31,46.56189931997217,46.696749081351804,46.4752096627452,46.68711853027344,163100,0.0,0
2020-01-02,46.91828155517578,46.93754632886139,46.66784684602268,46.91828155517578,314100,0.0,0
2020-01-03,46.61006334453165,46.7449131172536,46.475213571809704,46.61969757080078,368800,0.0,0
2020-01-06,46.369252541167,46.64858627319336,46.33072299032608,46.64858627319336,182800,0.0,0
2020-01-07,46.55226512816597,46.610055778877346,46.43667647798294,46.48483657836914,531800,0.0,0
2020-01-08,46.55226696998388,46.92792091199096,46.48483841751928,46.74490737915039,277700,0.0,0
2020-01-09,46.95681977349561,47.043509433898826,46.87976066452362,47.01461410522461,336800,0.0,0
2020-01-10,47.18799905348305,47.18799905348305,46.841240370517134,46.889400482177734,421400,0.0,0
2020-01-13,47.00497530661341,47.20724993641612,46.908655104149325,47.168724060058594,858400,0.0,0
2020-01-14,47.22651953535743,47.38063407966888,47.13982987453346,47.19762420654297,328200,0.0,0
2020-01-15,47.25541506561241,47.476954477129745,47.226516064541244,47.31320571899414,270300,0.0,0
2020-01-16,47.48658844930459,47.68886309947512,47.48658844930459,47.65033721923828,325200,0.0,0
2020-01-17,47.79481069541985,47.92002989281038,47.71775527159647,47.8140754699707,199400,0.0,0
2020-01-21,47.71767890163238,47.77551983626587,47.602000709708825,47.69839859008789,345600,0.04,0
2020-01-22,47.83336150936812,47.92976307599007,47.67912268011677,47.72732162475586,362000,0.0,0
2020-01-23,47.563438429537094,47.74659586681358,47.37063899815257,47.73695755004883,202400,0.0,0
2020-01-24,47.81407942692376,47.81407942692376,47.100726247034224,47.29352569580078,222400,0.0,0
2020-01-27,46.57052373211118,46.78259978522971,46.45484187330861,46.580162048339844,243300,0.0,0
2020-01-28,46.73441038823509,47.129647626456965,46.69584976076373,47.01396942138672,225500,0.0,0
2020-01-29,47.168200343690685,47.254959902279516,46.888641357421875,46.888641357421875,131200,0.0,0
2020-01-30,46.63800895282606,46.97540522420177,46.42592919519358,46.96576690673828,230000,0.0,0
2020-01-31,46.715127008917236,46.77296794632859,45.828254699338046,46.001773834228516,599700,0.0,0
2020-02-03,46.204213855583816,46.55125214231272,46.127092601935715,46.165653228759766,334100,0.0,0
2020-02-04,46.76332629561221,47.06216562508835,46.76332629561221,46.94648742675781,242700,0.0,0
2020-02-05,47.26459720727472,47.5055955673809,47.1585573404531,47.47667694091797,252800,0.0,0
2020-02-06,47.659837615627325,47.659837615627325,47.48631849034955,47.621280670166016,181300,0.0,0
