Ticker,Date,SMA_10,SMA_10_min_max,SMA_10_fluc_pctg,MACD,MACD_Signal,MACD_Hist,MACD_polarize,MACD_Signal_polarize,MACD_Hist_polarize,CCI_20,CCI_20_polarize,CCI_20_fluc_pctg,ROC_10,ROC_10_polarize,ROC_10_fluc_pctg,RSI_5,RSI_5_polarize,RSI_5_fluc_pctg,STOCH_SlowD,STOCH_SlowK,STOCH_SlowD_min_max,STOCH_SlowD_fluc_pctg,STOCH_SlowK_min_max,STOCH_SlowK_fluc_pctg,ADX,ADX_fluc_pctg,AROON_Up,AROON_Down,AROON_Up_min_max,AROON_Down_min_max,AROON_polarize,BBANDS_Lower_Band,BBANDS_Middle_Band,BBANDS_Upper_Band,BBANDS_width,BBANDS_compare_high_low_price,Chaikin_AD,Chaikin_AD_fluc_pctg,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_Change,Close_Change_pctg,Volume_min_max,HYAC_daily_trend,New Cases,Case 7-Day Moving Avg,Historic Cases,New Deaths,Death 7-Day Moving Avg,Historic Deaths
HYAC,2021-06-15,9.771,0.34871795,0.0,-0.0662,-0.1087,0.0425,-1,-1,1,47.3007,0,-0.07994982,-1.5412,-1,-0.2294,60.479,0,0.0,100.0,100.0,1.0,0.06099783,1.0,0.0,29.2159,-0.06761833,35.7143,35.7143,0.357143,0.357143,0,9.8,9.8,9.8,0.0,1.0,41963.5038,0.08639146,9.75,9.80000019,9.75,9.80000019,3300.0,0.0,0.0,0.0,0.0,0.0047523,,13139,13012,0,313,295,0
HYAC,2021-06-16,9.786,0.38717949,0.00153516,-0.0585,-0.0987,0.0401,-1,-1,1,85.9659,0,0.81743399,0.6154,1,-1.39929925,66.5108,0,0.09973379,98.4127,95.2381,0.984127,-0.015873,0.952381,-0.047619,27.9429,-0.04357216,28.5714,28.5714,0.285714,0.285714,0,9.794,9.802,9.81,0.016,-1.0,31252.5038,-0.25524561,9.81999969,9.81999969,9.81000042,9.81000042,10700.0,0.0,0.0,0.01000023,0.00102043,0.01540899,,13532,12204,0,331,293,0
HYAC,2021-06-17,9.791,0.4,0.00051093,-0.0526,-0.0895,0.0368,-1,-1,1,61.1407,0,-0.28877962,1.976,1,2.21091973,55.855,0,-0.16021157,93.6508,85.7143,0.936508,-0.04838705,0.857143,-0.0999999,26.3579,-0.05672282,21.4286,21.4286,0.214286,0.214286,0,9.794,9.802,9.81,0.016,0.0,31252.5038,0.0,9.80000019,9.80000019,9.80000019,9.80000019,4900.0,0.0,0.0,-0.01000023,-0.00101939,0.00705645,,13444,11805,0,268,277,0
HYAC,2021-06-18,9.806,0.43846154,0.00153202,-0.0394,-0.0795,0.04,-1,-1,1,215.7647,-1,2.52898642,1.8519,1,-0.06280364,85.298,-1,0.52713275,88.8889,85.7143,0.888889,-0.0508474,0.857143,0.0,27.5272,0.04436241,14.2857,14.2857,0.142857,0.142857,0,9.7436,9.822,9.9004,0.1568,0.0,31252.5038,0.0,9.89999962,9.89999962,9.89999962,9.89999962,1000.0,0.0,0.0,0.09999943,0.01020402,0.00144009,,11723,11518,0,229,260,0
HYAC,2021-06-21,9.821,0.47692308,0.00152968,-0.0286,-0.0693,0.0406,-1,-1,1,197.0983,-1,-0.08651276,2.3785,1,0.28435661,85.298,-1,0.0,87.3016,90.4762,0.873016,-0.01785712,0.904762,0.05555549,28.5795,0.03822764,7.1429,7.1429,0.071429,0.071429,0,9.747,9.842,9.937,0.19,0.0,31252.5038,0.0,9.89999962,9.89999962,9.89999962,9.89999962,0.0,0.0,0.0,0.0,0.0,0.0,,8518,11633,0,265,258,8
HYAC,2021-06-22,9.831,0.5025641,0.00101823,-0.0199,-0.0594,0.0395,-1,-1,1,194.9185,-1,-0.01105946,2.3785,1,0.0,85.298,-1,0.0,92.0635,100.0,0.920635,0.05454539,1.0,0.10526304,29.5267,0.03314264,0.0,0.0,0.0,0.0,0,9.7687,9.862,9.9553,0.1866,0.0,31252.5038,0.0,,,,,,,,,,,,13919,11745,0,292,255,0
HYAC,2021-06-23,9.8264,0.49076923,-0.00046791,-0.0245,-0.0524,0.028,-1,-1,1,-71.9013,0,-1.36887879,0.8635,1,-0.63695606,29.3282,1,-0.65616779,85.7143,66.6667,0.857143,-0.06896544,0.666667,-0.333333,27.9102,-0.05474706,92.8571,0.0,0.928571,0.0,1,9.7264,9.8507,9.975,0.2486,0.0,28715.5038,-0.0811775,9.78999996,9.80000019,9.75399971,9.75399971,2500.0,0.0,0.0,-0.14599991,-0.01474747,0.00360023,,14440,11874,0,311,252,0
HYAC,2021-06-24,9.8204,0.47538462,-0.0006106,-0.0288,-0.0477,0.0189,-1,-1,1,-131.9224,1,0.83477072,-0.6122,-1,-1.7089751,27.2673,1,-0.07027025,66.6667,33.3333,0.666667,-0.22222196,0.333333,-0.50000075,26.7736,-0.04072346,85.7143,100.0,0.857143,1.0,-1,9.6883,9.8387,9.9891,0.3008,0.0,28715.5038,0.0,9.73999977,9.73999977,9.73999977,9.73999977,2900.0,0.0,0.0,-0.01399994,-0.0014353,0.00417627,,15415,12156,0,258,251,0
HYAC,2021-06-25,9.8074,0.44205128,-0.00132377,-0.0375,-0.0457,0.0081,-1,-1,1,-206.3718,1,0.56434237,-1.3265,-1,1.16677556,18.7345,1,-0.31293161,33.3333,0.0,0.333333,-0.50000075,0.0,-1.0,27.2082,0.01623241,78.5714,100.0,0.785714,1.0,-1,9.6085,9.7927,9.9769,0.3684,0.0,23207.5038,-0.19181276,9.69999981,9.69999981,9.67000008,9.67000008,5500.0,0.0,0.0,-0.06999969,-0.00718683,0.00792051,,14327,12528,0,319,264,10
HYAC,2021-06-28,9.803,0.43076923,-0.00044864,-0.0371,-0.0439,0.0069,-1,-1,1,-105.0896,1,-0.49077539,-0.449,-1,-0.66151527,45.1122,0,1.40797459,15.2657,12.4638,0.152657,-0.54202854,0.124638,1,25.8373,-0.05038555,71.4286,100.0,0.714286,1.0,-1,9.614,9.7639,9.9138,0.2998,0.0,57876.5038,1.49387027,9.69999981,9.75599957,9.67000008,9.75599957,34700.0,0.0,0.0,0.08599949,0.00889343,0.0499712,,10878,13065,0,208,246,0
