State,Date,New Cases,Case 7-Day Moving Avg,Historic Cases
United States,Aug 12 2021,157306,127806,266
United States,Aug 11 2021,154595,124184,270
United States,Aug 10 2021,143196,120766,183
United States,Aug  9 2021,96278,117096,82
United States,Aug  8 2021,94308,114995,42
United States,Aug  7 2021,122261,112194,99
United States,Aug  6 2021,126699,108046,7773
United States,Aug  5 2021,131953,105385,234
United States,Aug  4 2021,130670,100918,333
United States,Aug  3 2021,117503,95992,322
United States,Aug  2 2021,81575,91726,25
United States,Aug  1 2021,74701,88373,44
United States,Jul 31 2021,93227,85127,164
United States,Jul 30 2021,108067,80603,334
United States,Jul 29 2021,100685,75200,229
United States,Jul 28 2021,96189,71003,120
United States,Jul 27 2021,87640,66643,142
United States,Jul 26 2021,58106,61741,36
United States,Jul 25 2021,51976,58819,28
United States,Jul 24 2021,61563,56382,122
United States,Jul 23 2021,70241,52998,345
United States,Jul 22 2021,71310,49242,283
United States,Jul 21 2021,65671,45180,184
United States,Jul 20 2021,53320,41686,136
United States,Jul 19 2021,37658,39197,266
United States,Jul 18 2021,34916,37310,45
United States,Jul 17 2021,37873,35272,71
United States,Jul 16 2021,43951,33347,42
United States,Jul 15 2021,42873,31255,112
United States,Jul 14 2021,41216,29513,106
United States,Jul 13 2021,35897,27150,0
United States,Jul 12 2021,24449,24437,0
United States,Jul 11 2021,20650,22537,0
United States,Jul 10 2021,24396,21371,0
United States,Jul  9 2021,29310,20071,0
United States,Jul  8 2021,30679,18363,0
United States,Jul  7 2021,24672,16689,0
United States,Jul  6 2021,16904,15721,0
United States,Jul  5 2021,11151,15661,0
United States,Jul  4 2021,12489,15622,4
United States,Jul  3 2021,15295,15211,0
United States,Jul  2 2021,17357,14864,0
United States,Jul  1 2021,18958,14431,0
United States,Jun 30 2021,17899,13925,0
United States,Jun 29 2021,16481,13431,0
United States,Jun 28 2021,10878,13065,0
United States,Jun 27 2021,9615,12728,0
United States,Jun 26 2021,12863,12624,0
United States,Jun 25 2021,14327,12528,0
United States,Jun 24 2021,15415,12156,0
United States,Jun 23 2021,14440,11874,0
United States,Jun 22 2021,13919,11745,0
United States,Jun 21 2021,8518,11633,0
United States,Jun 20 2021,8887,11615,0
United States,Jun 19 2021,12192,11549,0
