Ticker,Date,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29,PCA_30,PCA_31,PCA_32,PCA_33,PCA_34,PCA_35,PCA_36,PCA_37,PCA_38,PCA_39,Close
FSBC,2021-06-21,1.2829594951185546,1.7416481724465889,0.25781149136464143,0.4529021822829229,0.6141544139904844,0.3133449103894877,0.3456539274008391,-0.5450242753581136,0.2562054371588025,-0.27552074851343766,-0.08914028722450906,-0.0019173961635883354,-0.11507450461513485,-0.08581160110459495,0.04849478912373106,0.088178264649861,-0.040310062378651916,0.11131202539023921,0.08410194311251502,0.15378909749953562,-0.013055011892690097,0.062047504844689835,-0.12772423569487248,0.08389740353006409,0.042152822441016154,-0.04433939682128258,-0.045230186415837946,-0.013684022842575928,0.03260977026798916,-0.017516572989389634,0.003026716922843704,0.015710471250912905,0.009466800120711978,9.089383561773972e-06,-1.4090150441964794e-06,8.365303547068727e-10,-8.681149773970766e-10,1.871862391896865e-10,4.3671953769160435e-17,-3.97961896419059e-17,26.07759285
FSBC,2021-06-22,1.7214103897242017,1.7056328855210843,0.2172346562810904,0.33308370142497623,0.4113764705753591,-0.08249931584516729,-0.19982792821656448,-0.018735875509445433,0.5480762836819902,-0.12788847436191875,0.047756216655384806,-0.0010779620527969361,-0.1816954436883137,-0.02624344355014219,-0.14454845771279154,0.12324649935947823,0.08534864807183415,0.09098133363423605,0.004960974924429376,0.09717168335393221,-0.09899580530862283,-0.04265387641197349,-0.04889498003127325,-0.004452973938910469,-0.05133595498108268,0.028260153868854637,0.002235205129260404,-0.022484829044760287,-0.007602287625389746,0.03871533075748175,1.8871679715417444e-05,0.007717727814620457,-0.01286073976115321,1.66172498555387e-05,3.0182022292255087e-06,-3.5736035035758646e-10,6.933173355130475e-10,-2.5155594108381693e-10,2.0409881959373392e-16,6.07126626669627e-17,26.55173111
FSBC,2021-06-23,1.6787723942576769,1.632163458233335,0.081235598326524,0.3471943785834743,0.39025621754760936,-0.2166379460544283,-0.009075211290778522,0.33155374146446015,0.38866201175922577,-0.14481872306932075,-0.10775660586323454,-0.14306007542142285,-0.15510580320289136,-0.16555765729646885,-0.2016060127933234,-0.06499149368918782,0.1373940832474084,0.002681942630965051,-0.16048897341050733,-0.1364886096033197,0.12047815841062155,-0.05446131993929132,0.0020880912672403885,-0.039648125777814146,-0.03659867621604263,-0.03194425810079791,0.06456090937626285,-0.028633613680428393,-0.004454296943008732,0.018736527316914886,-0.007144198798661642,0.002030882069629034,0.009282282286106655,-1.474833584859154e-05,-1.0578733815982504e-06,-3.672948441566868e-09,3.696081473382023e-10,1.8684650259423625e-09,-7.115981040584419e-19,3.3866445683213055e-17,26.39368439
FSBC,2021-06-24,1.7771862664027935,1.50929111670239,-0.2522712683770072,0.6869858484678084,0.3779537575543099,-0.4704759731419157,-0.0041629551093621065,0.31341315394440106,0.14842426971946704,-0.13049384418886384,-0.2853200636980344,0.0518167124683297,-0.1542790558770869,-0.09776353005877664,-0.03735441671715805,0.05640419125588011,0.07429812835688794,0.02408050530520429,-0.05472446739038829,0.013641261501516145,0.04976643494524106,0.06766509372910721,0.007516448595018873,0.009000110474034595,-0.02541637494422517,0.07340211340606911,-0.018105508497604447,0.07108833828651903,-0.01292830268405212,-0.01509380246047198,0.015267759204495513,-0.02524548412268192,-0.009311668313704507,-5.6475523177496365e-06,-3.6124875733564995e-06,3.877298673778393e-09,-1.0127753736297735e-09,-1.6642037475153495e-09,-8.824864139959375e-17,-6.024345375197537e-17,26.70977974
FSBC,2021-06-25,1.3803901793681452,1.696346489947991,0.09876314381069703,-0.249931623984383,0.673103644005026,0.18099236282935796,0.06981544939483268,0.5578026622275276,-0.09209912276238613,0.8010904560527545,-0.09763453874096517,0.7834601332748433,0.2024898929469539,0.0031072244674858283,0.10642517178295781,-0.009189587934465044,-0.1866916591031126,0.0005139932263016597,0.08699336617576728,0.01138801829120822,0.036461885825816144,0.02012952712770759,0.03201839375305111,0.014458310915092476,0.004333877138086674,-0.04770171056499687,0.02188414929316693,-0.008060709882317392,0.0008080893203361011,-0.01723041180065462,0.005000002140497176,-0.003662750417500027,0.0032063207331406354,-2.2090336777849433e-06,1.3131506130556105e-06,-3.2226784436005203e-09,-3.5755603118463095e-10,3.9638195989568836e-10,-3.3017408377478757e-17,3.289301387431361e-17,25.88003922
FSBC,2021-06-28,0.7116828010536612,1.730007755960862,0.061070174418694854,0.15197026058734886,0.5105836084475813,0.0472081488571487,0.43563418560557293,-0.3149547138711442,-0.346037359153863,0.097119801665435,0.07872769858790847,-0.1545544064597873,-0.04203327854748655,0.05291039816147906,0.1770742773750957,-0.05010716411108161,-0.05781972058142973,-0.146601711686396,-0.12401689266208796,-0.04816603094780257,-0.01768391025385836,-0.0028936237007138542,0.02137983744670606,-0.035272667957491614,0.15535737769423622,0.00917228660408444,0.011915744334482841,0.0391761792790319,-0.043968719330026926,-0.01624919160269894,-0.03226011996085298,0.010329180463269196,-0.010323792759486833,-5.383487874356032e-06,1.583393626363216e-06,4.339761739947005e-09,8.259578838625369e-10,1.2754516604380072e-09,-8.652246844091723e-16,7.340425290320858e-17,25.37626648
FSBC,2021-06-29,-0.2299932029755265,2.0471849896751313,0.5728504665556818,-0.36018835505957303,0.2792251650903705,0.32073444008653895,-0.18879041689491058,-0.28391102355592,-0.5142346884153329,-0.1446085271729249,0.03514622786329196,-0.04628288111884391,0.39124850685474,0.0668785240600355,0.049965182454130556,-0.1545135968449231,0.22068031956599926,0.03051237282956651,-0.07029060832085687,-0.010954097916289452,-0.1172753802885538,0.032933662101072805,-0.025294147777592715,-0.056080629651472265,-0.019739489237292726,0.08403005049191987,-0.06591451614079538,0.020666428918847915,0.012210520872176863,0.003782081730644227,0.006359962048446242,-0.010504407047656903,0.02388503945170279,-1.0668600753052669e-06,5.706525664865646e-06,-3.456992542879897e-09,6.005841040405124e-12,3.7557111092530813e-10,-1.496011658211104e-16,1.1882953227646974e-16,24.25018692
FSBC,2021-06-30,-0.8623986495965312,1.779841664297755,0.20665802943971018,0.11378077475190619,-0.08633029086246212,0.3022061408185152,-0.56063968399026,-0.530671243076201,-0.039237140928168136,0.16303009787924452,-0.13238438799700608,-0.23909568632887468,0.21510583387387336,0.3291618649202252,-0.012161000589030614,-0.03942219813466838,-0.01858296281391137,-0.061357706986258455,-0.06259571050834623,0.08281119169299468,-0.09026129062780279,-0.006803795319422744,0.025727750645153334,0.019742423930907273,0.0035633874317040617,-0.06573467835340341,0.049505470397247245,-0.014333220011030543,-0.03476321327784661,0.016208816470810912,-0.00833670114338523,-0.00849647665818545,0.013356122392993448,-7.623877753506946e-06,-7.089296156445431e-06,1.9497688339238015e-09,5.61913553675658e-10,-1.7219898084817484e-09,3.8175013563312893e-16,-7.65862915039649e-17,23.85507202
FSBC,2021-07-01,-0.9537829849995167,1.5453612805801955,-0.10980891321885382,0.36418852422188475,-0.21408594622808205,0.11960615038655897,-0.2659178726420627,0.15724285861917095,0.2670792325368181,-0.12931414125026813,0.005565266972358423,-0.29525460240221957,0.2408305450647839,0.25447794020379094,-0.053532590842160804,-0.25541322010575196,-0.15077247450448003,-0.08842133554881991,0.269548211661488,-0.14980327942913058,0.22210797190270312,0.034619463590513974,-0.0003921092106397762,0.016472628128023175,-0.009430365020194263,0.02277205623638014,-0.006200135513913205,-0.010400121258137307,-0.0008932029046356701,0.010783920640707712,0.00619976445413302,-0.008640996627675751,-0.013876455780454348,2.7636071988129905e-05,2.0823385429808318e-06,3.3396889927710455e-09,-1.743208887604959e-09,1.081741900922084e-09,3.977148341342054e-17,2.9968809494999e-17,24.19091988
FSBC,2021-07-02,-1.0116385710894926,1.35001194861028,-0.1818379339318368,0.12748719749540569,-0.17733695911988623,0.042261222216666505,-0.2128807706089478,0.05220570692363204,0.032642441486421286,0.010468495385436568,0.007461001202860591,-0.21653993311414588,-0.015450877909225995,-0.01569780532791038,-0.01694511430868905,-0.005610646117020799,-0.042466594485112356,-0.030723661139091016,-0.0008343964229630696,-0.0058305821376124015,-0.04065364452094627,-0.14619154875417611,0.18698175549821894,-0.026727850635217685,-0.05518999029931827,-0.035339585850761676,-0.02064693940868698,0.0040870342023490245,0.013547047252747775,-0.02149136599785957,0.00980216028691669,0.010871740281233194,-0.010385353721160515,8.84229475466263e-06,4.2464845658183166e-06,8.305628222978236e-09,2.632780308318997e-09,-1.2553829217826897e-09,-5.976822785662684e-16,-1.0140358082326673e-16,24.01311684
