Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-13,35.5564131985998,36.21895742553615,35.5564131985998,36.17094421386719,4600,0.0,0
2020-02-14,36.24776817989054,36.651052849133144,36.046125845269245,36.276573181152344,8000,0.0,0
2020-02-18,35.99811265341812,36.401397281932994,35.99811265341812,36.03651809692383,6200,0.0,0
2020-02-19,36.22856018667342,36.362988396997096,36.007713317871094,36.007713317871094,12800,0.0,0
2020-02-20,35.99810984040963,36.32457989350768,35.79646387901547,35.863677978515625,6400,0.0,0
2020-02-21,35.95009994506836,36.28617413645593,35.95009994506836,35.95009994506836,8900,0.0,0
2020-02-24,35.710047814084874,36.34378341447956,35.6428337097168,35.6428337097168,12400,0.0,0
2020-02-25,35.69084166899818,36.122934937015046,35.26835250854492,35.26835250854492,13500,0.0,0
2020-02-26,35.28756139694012,35.950102047383595,35.26835684234686,35.815673828125,8200,0.0,0
2020-02-27,35.53721208666325,35.623630747981785,34.53860092163086,34.53860092163086,19100,0.0,0
2020-02-28,33.84725085683452,34.31775326056035,32.68540284126895,32.963863372802734,43400,0.0,0
2020-03-02,33.47277372075999,34.03929527144877,33.127099057574384,33.37675094604492,34500,0.0,0
2020-03-03,33.36714884337701,33.73202804338976,32.93505553584797,33.45356750488281,32300,0.0,0
2020-03-04,33.45357291352408,35.2779655456543,33.098297764513674,35.2779655456543,17200,0.0,0
2020-03-05,34.77865128314355,35.05710814959796,33.53998506326454,34.077701568603516,18300,0.0,0
2020-03-06,33.26152915805475,34.279348650159974,33.25192871148813,34.116111755371094,11100,0.0,0
2020-03-09,33.18470836565782,33.93366759563458,33.18470836565782,33.91446304321289,35900,0.0,0
2020-03-10,33.9624770955377,34.3177558681008,33.29993643217252,34.22173309326172,24200,0.0,0
2020-03-11,33.67441259243308,33.87605490426946,31.830819462110853,32.022857666015625,21800,0.0,0
2020-03-12,30.284888475531336,32.733412263273195,30.265683922099182,32.5413703918457,42800,0.0,0
2020-03-13,33.559195865364316,33.60720542625145,30.880220610862683,32.40694808959961,30200,0.0,0
2020-03-16,31.68678849725593,31.68678849725593,28.86378319105886,31.475542068481445,32600,0.0,0
2020-03-17,31.60036981070032,33.7224235534668,30.006428476542165,33.7224235534668,40000,0.0,0
2020-03-18,32.858244464454366,32.93505902565763,28.90219566433376,31.926843643188477,57200,0.0,0
2020-03-19,31.40832766761421,33.84725103245138,30.80340071197753,33.78003692626953,31000,0.0,0
2020-03-20,33.203913800998656,33.203913800998656,31.21628469578008,31.389122009277344,49200,0.0,0
2020-03-23,32.04206352910525,32.33972861795875,28.815773587679402,29.996826171875,37900,0.0,0
2020-03-24,30.72658045151654,32.64699172973633,29.66075160604155,32.64699172973633,40200,0.0,0
2020-03-25,32.08047299814431,34.16412131781222,31.475542368189867,33.87605667114258,39200,0.0,0
2020-03-26,33.56879066542695,34.59621047973633,33.36714834588453,34.59621047973633,36100,0.0,0
2020-03-27,33.55918645659841,36.007710004312955,33.34794005244713,34.62501525878906,41800,0.0,0
2020-03-30,35.04750928014351,35.518011701331204,34.34655953408794,35.50840759277344,23600,0.0,0
2020-03-31,35.489205856774696,35.892494201660156,34.33695815225199,35.892494201660156,33500,0.0,0
2020-04-01,34.63462186783394,35.0187056414016,34.02009076044114,34.22173309326172,42200,0.0,0
2020-04-02,34.3945691070797,35.47960261236973,33.52078203544635,34.45218276977539,24200,0.0,0
2020-04-03,34.02009088585962,34.788254772932525,33.17510877863224,33.77043533325195,17700,0.0,0
2020-04-06,34.68263183447093,36.23816783923361,34.68263183447093,36.065330505371094,40300,0.0,0
2020-04-07,36.24776194298322,36.55502744655449,34.14491296612474,34.96108627319336,32800,0.0,0
