Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,MACD_Hist,BBANDS_Middle_Band,RSI_5,High,ADX,ADX_fluc_pctg,Historic Deaths,MACD_Signal,Historic Cases,AROON_Up,ROC_10_polarize,BBANDS_width,Open,Chaikin_AD,BBANDS_Upper_Band,STOCH_SlowK_min_max,MACD,MACD_polarize,STOCH_SlowD,Case 7-Day Moving Avg,RSI_5_polarize,Dividends,Death 7-Day Moving Avg,New Cases,daily_trend,Close_Change_pctg,SMA_10_fluc_pctg,CCI_20_polarize,STOCH_SlowK,STOCH_SlowK_fluc_pctg,STOCH_SlowD_fluc_pctg,SMA_10_min_max,STOCH_SlowD_min_max,AROON_Down_min_max,AROON_Up_min_max,AROON_polarize
JCTCF,2020-02-07,7400.0,7.46000004,7.28000021,0.0,-0.0358,7.4967,40.8029,7.5,53.8733,-0.04028353,0.0,-0.0826,0.0,0.0,-1,0.5112,7.28000021,-2390142.1871,7.7523,0.311967,-0.1184,-1,35.7209,7.0,0,0.0,0.0,5.0,0.0,0.02613481,-0.00362252,1,31.1967,0.1176125,-0.01954816,0.32363362,0.357209,0.928571,0.0,-1
JCTCF,2020-02-10,700.0,7.46000004,7.38999987,0.0,-0.0303,7.4583,40.3448,7.46000004,51.8381,-0.03777753,0.0,-0.0902,0.0,0.0,-1,0.4091,7.38999987,-2389393.1871,7.6629,0.320701,-0.1205,-1,30.3935,9.0,0,0.0,0.0,9.0,0.0,0.0,-0.00318782,1,32.0701,0.02799655,-0.14913958,0.3201901,0.303935,0.857143,0.0,-1
JCTCF,2020-02-11,200.0,7.32999992,7.32999992,0.0,-0.0327,7.4143,30.4061,7.34000015,50.5198,-0.0254311,0.0,-0.0983,0.0,35.7143,-1,0.4027,7.34000015,-2389598.1871,7.6157,0.394212,-0.131,-1,34.2293,10.0,0,0.0,0.0,9.0,0.0,-0.01742629,-0.00488952,1,39.4212,0.22921974,0.12620462,0.31492522,0.342293,0.785714,0.357143,-1
JCTCF,2020-02-12,2600.0,7.5999999,7.36999989,0.0,-0.0143,7.4243,57.7971,7.5999999,45.6423,-0.0965463,0.0,-0.1019,0.0,28.5714,-1,0.4605,7.36999989,-2387014.1871,7.6546,0.569716,-0.1162,-1,42.821,10.0,0,0.0,0.0,8.0,0.0,0.03683492,-0.00172638,0,56.9716,0.44520207,0.25100426,0.3130754,0.42821,0.714286,0.285714,-1
JCTCF,2020-02-13,2400.0,7.5999999,7.44000006,0.0,-0.0011,7.4903,57.7971,7.5999999,41.2526,-0.09617613,0.0,-0.1022,0.0,21.4286,-1,0.406,7.44000006,-2384632.1871,7.6933,0.747126,-0.1033,-1,57.0351,11.0,0,0.0,0.0,6.0,0.0,0.0,-0.00172937,0,74.7126,0.31140077,0.33194227,0.31122558,0.570351,0.642857,0.214286,-1
JCTCF,2020-02-14,1400.0,7.69000006,7.48000002,0.0,0.0139,7.5356,64.9766,7.69000006,37.9921,-0.07903744,0.0,-0.0987,0.0,14.2857,-1,0.5073,7.48000002,-2383194.1871,7.7893,1.0,-0.0848,-1,77.2281,11.0,0,0.0,0.0,6.0,0.0,0.01184213,0.0015991,0,100.0,0.33846232,0.35404514,0.31293311,0.772281,0.571429,0.142857,-1
JCTCF,2020-02-18,200.0,7.40999985,7.36999989,0.0,0.0056,7.526,39.1055,7.40999985,34.5985,-0.08932383,0.0,-0.0973,0.0,7.1429,-1,0.5358,7.36999989,-2382985.1871,7.7939,0.740741,-0.0917,-1,82.9289,9.0,0,0.0,0.0,7.0,0.0,-0.03641095,-0.0031931,1,74.0741,-0.259259,0.07381769,0.30951805,0.829289,0.5,0.071429,-1
JCTCF,2020-02-19,1500.0,7.34000015,7.34000015,-1.0,-0.0034,7.528,34.7782,7.80999994,34.178,-0.01215371,0.0,-0.0981,0.0,100.0,-1,0.5242,7.67999983,-2384439.1871,7.7901,0.407407,-0.1016,-1,71.6049,10.0,0,0.0,0.0,17.0,0.0,-0.00944665,-0.00280292,0,40.7407,-0.45000074,-0.13655071,0.30652987,0.716049,0.428571,1.0,1
JCTCF,2020-02-20,1400.0,7.80999994,7.80000019,0.0,0.0219,7.57,66.184,7.82000017,33.863,-0.00921646,0.0,-0.0927,0.0,100.0,1,0.696,7.80000019,-2384439.1871,7.918,0.400463,-0.0707,-1,51.6204,11.0,0,0.0,0.0,14.0,0.0,0.06403267,0.00348003,-1,40.0463,-0.01704438,-0.27909403,0.31022952,0.516204,0.357143,1.0,1
JCTCF,2020-02-21,6000.0,7.80999994,7.80000019,0.0,0.0376,7.6122,66.2273,8.0,34.6427,0.02302513,0.0,-0.0833,0.0,100.0,1,0.7994,7.80000019,-2389804.9971,8.0119,0.564268,-0.0457,-1,45.7379,13.0,0,0.0,0.0,17.0,0.0,0.0,0.00721603,-1,56.4268,0.40903904,-0.11395689,0.31792763,0.457379,0.285714,1.0,1
JCTCF,2020-02-24,200.0,7.46999979,7.42999983,0.0,0.0244,7.5682,42.8606,7.46999979,31.6556,-0.08622596,0.0,-0.0771,0.0,92.8571,-1,0.8082,7.42999983,-2389578.9971,7.9723,0.629924,-0.0527,-1,53.1552,17.0,0,0.0,0.0,19.0,0.0,-0.04353395,7.946e-05,0,62.9924,0.11635606,0.16216967,0.31801301,0.531552,0.214286,0.928571,1
JCTCF,2020-02-25,1200.0,7.34000015,7.30999994,0.0,0.0073,7.5542,36.6915,7.42999983,28.9329,-0.08601006,0.0,-0.0753,0.0,85.7143,-1,0.8584,7.3499999,-2390119.8013,7.9834,0.319454,-0.068,-1,50.4549,20.0,0,0.0,0.0,24.0,0.0,-0.0174029,-0.00156252,0,31.9454,-0.49286898,-0.0508003,0.31633394,0.504549,0.142857,0.857143,1
JCTCF,2020-02-26,1200.0,7.48000002,7.34000015,0.0,0.0058,7.5822,46.9671,7.53000021,26.3637,-0.08879856,0.0,-0.0739,0.0,78.5714,-1,0.7714,7.34000015,-2389550.9066,7.9679,0.164825,-0.068,-1,37.1401,23.0,0,0.0,0.0,44.0,0.0,0.01907355,0.00198936,0,16.4825,-0.48404152,-0.26389508,0.31846835,0.371401,0.071429,0.785714,1
JCTCF,2020-02-27,600.0,7.34000015,7.32000017,0.0,-0.0037,7.4882,39.0453,7.3499999,23.8856,-0.09399667,0.0,-0.0748,0.0,71.4286,-1,0.6894,7.3499999,-2389399.9957,7.8329,0.115087,-0.0784,-1,19.9789,26.0,0,0.0,0.0,35.0,0.0,-0.01871656,-0.00344138,0,11.5087,-0.30176248,-0.46206661,0.3147687,0.199789,0.0,0.714286,1
JCTCF,2020-02-28,17100.0,7.0,7.0,0.0,-0.0304,7.326,25.8232,7.25,23.5946,-0.01218307,0.0,-0.0824,0.0,64.2857,-1,0.6954,7.25,-2406627.9957,7.6737,0.099168,-0.1128,-1,12.636,31.0,1,0.0,0.0,51.0,0.0,-0.04632155,-0.00796908,1,9.9168,-0.13832144,-0.36753275,0.30623106,0.12636,1.0,0.642857,-1
JCTCF,2020-03-02,2500.0,7.01000023,7.0,0.0,-0.0444,7.2335,26.5094,7.05000019,23.3327,-0.0111,0.0,-0.0935,0.0,57.1429,-1,0.7778,7.0,-2408370.2957,7.6224,0.020636,-0.1379,-1,7.8297,50.0,1,0.0,1.0,78.0,0.0,0.0014286,-0.00914434,1,2.0636,-0.79190868,-0.38036562,0.29651237,0.078297,1.0,0.571429,-1
JCTCF,2020-03-03,3500.0,7.0,7.0,0.0,-0.0504,7.1655,26.2104,7.0,23.097,-0.0101017,0.0,-0.1061,0.0,50.0,-1,0.818,7.0,-2404909.2957,7.5745,0.00478,-0.1565,-1,4.1528,71.0,1,0.0,1.0,171.0,0.0,-0.00142657,-0.00552643,1,0.478,-0.76836596,-0.46960931,0.29069255,0.041528,1.0,0.5,-1
JCTCF,2020-03-04,500.0,7.0,7.0,0.0,-0.0506,7.0695,26.2054,7.01999998,22.6345,-0.02002425,0.0,-0.1188,0.0,42.8571,-1,0.5411,7.0,-2405422.2957,7.3401,0.00478,-0.1694,-1,1.0065,85.0,1,0.0,1.0,143.0,0.0,0.0,-0.00461963,1,0.478,0.0,-0.7576334,0.28585455,0.010065,1.0,0.428571,-1
JCTCF,2020-03-05,1300.0,7.0,7.0,0.0,-0.047,7.0015,26.2054,7.0,22.2182,-0.01839228,0.0,-0.1305,0.0,35.7143,-1,0.012,7.0,-2405422.2957,7.0075,6.3e-05,-0.1775,-1,0.3208,104.0,1,0.0,2.0,165.0,0.0,0.0,-0.01105666,1,0.0063,-0.98682008,-0.68127173,0.27432873,0.003208,1.0,0.357143,-1
JCTCF,2020-03-06,2500.0,6.94999981,6.94999981,0.0,-0.0443,6.9915,22.8102,7.03000021,22.2872,0.00310556,0.0,-0.1416,0.0,28.5714,-1,0.0838,7.0,-2407928.2957,7.0334,0.0,-0.1858,-1,0.1614,128.0,1,0.0,2.0,218.0,0.0,-0.00714288,-0.01188422,1,0.0,-1.0,-0.49688279,0.26207721,0.001614,1.0,0.285714,-1
JCTCF,2020-03-09,900.0,6.38999987,6.38999987,0.0,-0.0747,6.868,8.1065,7.09000015,25.4619,0.14244499,0.0,-0.1602,0.0,21.4286,-1,0.9592,7.09000015,-2408800.2957,7.3476,0.0,-0.2349,-1,0.0021,272.0,1,0.0,3.0,596.0,0.0,-0.08057553,-0.01508633,1,0.0,0.0,-0.98698885,0.24670945,2.1e-05,1.0,0.214286,-1
JCTCF,2020-03-10,600.0,6.98999977,6.38999987,0.0,-0.0501,6.866,50.6829,7.0,28.3192,0.11221865,0.0,-0.1728,0.0,14.2857,-1,0.9548,7.0,-2408246.0826,7.3434,0.285714,-0.2228,-1,9.5238,345.0,0,0.0,4.0,676.0,0.0,0.0938967,-0.00496398,1,28.5714,inf,4534.14285714,0.24172916,0.095238,1.0,0.142857,-1
JCTCF,2020-03-11,2200.0,6.94999981,6.57999992,0.0,-0.033,6.856,48.7988,7.05999994,30.1098,0.06322919,0.0,-0.181,0.0,7.1429,-1,0.9356,6.57999992,-2407034.6281,7.3238,0.552381,-0.214,-1,27.9365,446.0,0,0.0,5.0,853.0,0.0,-0.00572246,-0.00755438,0,55.2381,0.93333543,1.93333543,0.23418757,0.279365,0.928571,0.071429,-1
JCTCF,2020-03-12,500.0,6.0,6.0,0.0,-0.0796,6.656,23.1974,6.46999979,33.6087,0.11620469,0.0,-0.2009,0.0,0.0,-1,1.5854,6.0,-2407499.6281,7.4487,0.552381,-0.2805,-1,46.3492,586.0,1,0.0,6.0,1144.0,0.0,-0.13669062,-0.01924513,1,55.2381,0.0,0.65909115,0.21512017,0.463492,1.0,0.0,-1
JCTCF,2020-03-13,400.0,6.05000019,6.05000019,0.0,-0.0995,6.476,25.7598,6.05000019,36.7577,0.09369598,0.0,-0.2258,0.0,14.2857,-1,1.7012,6.05000019,-2407499.6281,7.3266,0.281957,-0.3253,-1,46.224,750.0,1,0.0,7.0,1367.0,0.0,0.00833337,-0.01391167,1,28.1957,-0.48956065,-0.00270123,0.20160223,0.46224,0.928571,0.142857,-1
JCTCF,2020-03-16,1200.0,5.46999979,5.46999979,0.0,-0.1416,6.2928,17.3992,5.46999979,40.6471,0.10581184,0.0,-0.2612,0.0,7.1429,-1,2.3551,5.46999979,-2407499.6281,7.4703,0.015291,-0.4027,-1,28.321,1663.0,1,0.0,13.0,2939.0,0.0,-0.09586783,-0.0227806,1,1.5291,-0.94576833,-0.38730962,0.17977432,0.28321,1.0,0.071429,-1
JCTCF,2020-03-17,500.0,5.32000017,5.32000017,0.0,-0.1679,5.9588,15.6978,5.36000013,44.3481,0.09105201,0.0,-0.3032,0.0,0.0,-1,2.2878,5.36000013,-2407955.6281,7.1027,0.015291,-0.4711,-1,10.4179,2144.0,1,0.0,17.0,4048.0,0.0,-0.02742223,-0.02553036,1,1.5291,0.0,-0.63214929,0.15586892,0.104179,1.0,0.0,-1
JCTCF,2020-03-18,300.0,5.28999996,5.28999996,0.0,-0.1748,5.6268,15.3325,5.28999996,47.7181,0.07598973,0.0,-0.3468,0.0,0.0,-1,1.3258,5.28999996,-2407955.6281,6.2897,0.0,-0.5216,-1,1.0194,2893.0,1,0.0,25.0,6092.0,0.0,-0.00563914,-0.02666708,1,0.0,-1.0,-0.90214919,0.13153663,0.010194,1.0,0.0,-1
JCTCF,2020-03-19,0.0,5.28999996,5.28999996,0.0,-0.1668,5.4848,15.3325,5.28999996,50.7511,0.06356079,0.0,-0.3885,0.0,0.0,-1,1.1629,5.28999996,-2407955.6281,6.0662,0.0,-0.5553,-1,0.5097,3760.0,1,0.0,33.0,7216.0,0.0,0.0,-0.0273977,1,0.0,0.0,-0.5,0.10720435,0.005097,1.0,0.0,-1
JCTCF,2020-03-20,900.0,5.03000021,5.03000021,0.0,-0.166,5.2808,11.6585,5.28000021,53.8274,0.06061543,0.0,-0.43,0.0,35.7143,-1,0.571,5.28000021,-2408823.6281,5.5663,0.0,-0.5961,-1,-0.0,4748.0,1,0.0,46.0,8282.0,0.0,-0.04914929,-0.03162889,1,0.0,0.0,-1.0,0.07988389,0.0,1.0,0.357143,-1
JCTCF,2020-03-23,1100.0,5.46000004,5.0,0.0,-0.1255,5.278,40.9234,5.51000023,54.1575,0.00613256,0.0,-0.4614,0.0,28.5714,-1,0.5562,5.0,-2407940.1183,5.5561,0.300654,-0.5869,-1,10.0218,8390.0,0,0.0,98.0,11399.0,0.0,0.08548704,-0.01582063,0,30.0654,inf,inf,0.06665054,0.100218,1.0,0.285714,-1
JCTCF,2020-03-24,0.0,5.46000004,5.46000004,0.0,-0.0893,5.306,40.9234,5.46000004,54.4545,0.005484,0.0,-0.4838,0.0,21.4286,-1,0.6302,5.46000004,-2407940.1183,5.6211,0.601307,-0.5731,-1,30.0654,9565.0,0,0.0,127.0,12272.0,0.0,0.0,-0.02644588,0,60.1307,0.99999667,2.0,0.04487955,0.300654,0.928571,0.214286,-1
JCTCF,2020-03-25,2400.0,5.5,5.42000008,0.0,-0.055,5.348,43.6373,5.5,54.7219,0.00491052,0.0,-0.4975,0.0,14.2857,-1,0.699,5.42000008,-2405575.1183,5.6975,0.928105,-0.5525,-1,61.0022,10817.0,0,0.0,162.0,14857.0,0.0,0.007326,-0.02574391,0,92.8105,0.54347945,1.02898348,0.02424691,0.610022,0.857143,0.142857,-1
JCTCF,2020-03-26,1500.0,5.17000008,5.17000008,0.0,-0.0471,5.324,29.61,5.53000021,55.678,0.01747198,0.0,-0.5093,0.0,7.1429,-1,0.755,5.53000021,-2407047.1183,5.7015,0.733767,-0.5564,-1,75.4393,12557.0,1,0.0,203.0,19394.0,0.0,-0.05999999,-0.01512556,0,73.3767,-0.20939226,0.23666524,0.0124365,0.754393,0.785714,0.071429,-1
JCTCF,2020-03-27,600.0,5.28000021,5.25,0.0,-0.0281,5.374,37.9243,5.28000021,56.5385,0.01545494,0.0,-0.5163,0.0,0.0,-1,0.5094,5.25,-2406406.1183,5.6287,0.608223,-0.5444,-1,75.6698,14330.0,0,0.0,260.0,20694.0,0.0,0.02127662,-0.01424765,0,60.8223,-0.17109518,0.00305544,0.00147986,0.756698,0.714286,0.0,-1
JCTCF,2020-03-30,400.0,5.36999989,5.36999989,0.0,-0.0042,5.356,44.615,5.36999989,56.1785,-0.00636734,0.0,-0.5174,0.0,7.1429,-1,0.4804,5.36999989,-2406406.1183,5.5962,0.465081,-0.5216,-1,60.2357,18739.0,0,0.0,473.0,21742.0,0.0,0.01704539,-0.00195217,0,46.5081,-0.2353446,-0.20396644,0.0,0.602357,0.642857,0.071429,-1
JCTCF,2020-03-31,500.0,5.38000011,5.38000011,0.0,0.0163,5.34,45.4318,5.38000011,55.7253,-0.00806714,0.0,-0.5133,0.0,0.0,-1,0.4404,5.38000011,-2406406.1183,5.5602,0.551602,-0.4969,-1,54.1635,20290.0,0,0.0,584.0,23128.0,0.0,0.00186224,0.00112846,0,55.1602,0.18603426,-0.10080733,0.00085376,0.541635,0.571429,0.0,-1
JCTCF,2020-04-01,200.0,5.34000015,5.34000015,0.0,0.0305,5.308,42.3116,5.34000015,55.4925,-0.00417764,0.0,-0.5057,0.0,0.0,-1,0.3092,5.34000015,-2406406.1183,5.4626,0.532599,-0.4752,-1,51.6427,22263.0,0,0.0,702.0,28667.0,0.0,-0.00743494,0.00093932,0,53.2599,-0.03445056,-0.04654057,0.00156523,0.516427,0.5,0.0,-1
JCTCF,2020-04-02,500.0,5.25,5.25,0.0,0.0366,5.324,35.4617,5.25,55.6698,0.00319503,0.0,-0.4965,0.0,0.0,-1,0.2034,5.25,-2406406.1183,5.4257,0.348944,-0.4599,-1,47.7715,23805.0,0,0.0,844.0,30189.0,0.0,-0.01685396,-0.00075075,0,34.8944,-0.34482791,-0.07496122,0.00099606,0.477715,0.428571,0.0,-1
JCTCF,2020-04-03,500.0,5.25,5.25,0.0,0.0431,5.318,35.4617,5.30000019,55.0628,-0.01090358,0.0,-0.4857,0.0,57.1429,-1,0.2282,5.30000019,-2406922.1183,5.4321,0.156107,-0.4427,-1,34.5883,25382.0,0,0.0,971.0,31734.0,100.0,0.0,0.00413223,0,15.6107,-0.55263022,-0.2759637,0.00412653,0.345883,0.357143,0.571429,1
JCTCF,2020-04-06,2500.0,5.61999989,5.25,-1.0,0.0731,5.3685,68.471,5.71999979,49.839,-0.09486986,0.0,-0.4675,0.0,100.0,-1,0.5472,5.25,-2405477.4906,5.6421,0.264184,-0.3944,-1,25.6412,28879.0,0,0.0,1448.0,28577.0,0.0,0.07047617,0.0030303,0,26.4184,0.69232642,-0.25867418,0.00643169,0.256412,0.285714,1.0,1
JCTCF,2020-04-07,1900.0,5.80000019,5.76999998,0.0,0.1036,5.4525,75.8334,5.80000019,45.2108,-0.09286302,0.0,-0.4416,0.0,100.0,-1,0.8842,5.78999996,-2403549.4906,5.8946,0.597518,-0.338,-1,33.927,29875.0,-1,0.0,1608.0,30105.0,0.0,0.03202852,0.00634068,0,59.7518,1.26174939,0.323144,0.01126969,0.33927,0.214286,1.0,1
JCTCF,2020-04-08,0.0,5.80000019,5.80000019,0.0,0.1214,5.5445,75.8334,5.80000019,41.0455,-0.09213064,0.0,-0.4112,0.0,100.0,-1,0.9962,5.80000019,-2403549.4906,6.0426,0.930851,-0.2899,-1,59.7518,30582.0,-1,0.0,1763.0,33616.0,0.0,0.0,0.00555947,-1,93.0851,0.55786269,0.76118725,0.01553851,0.597518,0.142857,1.0,1
JCTCF,2020-04-09,1400.0,5.96999979,5.46000004,0.0,0.1407,5.6885,82.0914,5.96999979,39.1116,-0.04711601,0.0,-0.3761,0.0,100.0,-1,0.981,5.5,-2402101.4906,6.179,1.0,-0.2353,-1,84.279,31254.0,-1,0.0,1891.0,34893.0,0.0,0.02931027,0.01474328,-1,100.0,0.07428579,0.41048471,0.02692204,0.84279,0.071429,1.0,1
JCTCF,2020-04-13,400.0,6.71999979,6.38999987,0.0,0.1968,5.9825,92.6243,6.71999979,37.6102,-0.03838759,0.0,-0.3269,0.0,100.0,1,1.5392,6.38999987,-2401743.4906,6.7521,1.0,-0.1301,-1,97.695,30855.0,-1,0.0,2132.0,25171.0,0.0,0.12562815,0.02615234,-1,100.0,0.0,0.15918556,0.04741238,0.97695,0.0,1.0,1
JCTCF,2020-04-14,0.0,6.71999979,6.71999979,0.0,0.2246,6.202,92.6243,6.71999979,36.2589,-0.03592908,0.0,-0.2707,0.0,100.0,1,1.71,6.71999979,-2401743.4906,7.057,1.0,-0.0462,-1,100.0,30197.0,-1,0.0,2188.0,25500.0,0.0,0.0,0.02389296,-1,100.0,0.0,0.02359384,0.06662208,1.0,0.142857,1.0,1
JCTCF,2020-04-15,700.0,6.09000015,6.09000015,0.0,0.1925,6.26,52.2727,6.69999981,33.707,-0.07037996,0.0,-0.2226,0.0,92.8571,1,1.547,6.69999981,-2402417.4906,7.0335,0.832922,-0.0301,-1,94.4307,29074.0,0,0.0,2255.0,25752.0,0.0,-0.09374995,0.0122727,-1,83.2922,-0.167078,-0.055693,0.07672496,0.944307,0.071429,0.928571,1
JCTCF,2020-04-16,300.0,6.03000021,6.03000021,0.0,0.1605,6.306,49.6954,6.03000021,31.6678,-0.06049782,0.0,-0.1825,0.0,85.7143,1,1.3606,6.03000021,-2402417.4906,6.9863,0.649932,-0.022,-1,82.7618,28617.0,0,0.0,2283.0,31695.0,0.0,-0.00985221,0.01178238,0,64.9932,-0.21969644,-0.12357104,0.08654325,0.827618,0.0,0.857143,1
JCTCF,2020-04-17,0.0,6.03000021,6.03000021,0.0,0.1337,6.318,49.6954,6.03000021,29.8325,-0.05795477,0.0,-0.1491,0.0,78.5714,1,1.3158,6.03000021,-2402417.4906,6.9759,0.316599,-0.0154,-1,59.9818,28345.0,0,0.0,2297.0,30307.0,0.0,0.0,0.01316411,0,31.6599,-0.51287365,-0.27524776,0.09764219,0.599818,0.428571,0.785714,1
JCTCF,2020-04-20,17800.0,5.40999985,5.0999999,1.0,0.0716,6.056,27.6688,5.46999979,31.264,0.04798458,0.0,-0.1312,0.0,71.4286,1,1.6596,5.28999996,-2390009.848,6.8858,0.214129,-0.0595,-1,39.3554,27884.0,1,0.0,2295.0,26170.0,0.0,-0.10281929,0.00266525,0,21.4129,-0.32365863,-0.34387764,0.09991889,0.393554,1.0,0.714286,-1
JCTCF,2020-04-21,7300.0,5.25,5.15999985,0.0,0.02,5.762,24.2076,5.42999983,32.5524,0.04121034,0.0,-0.1262,0.0,64.2857,-1,1.428,5.42999983,-2392438.1814,6.476,0.095036,-0.1061,-1,20.8588,27816.0,1,0.0,2308.0,25026.0,0.0,-0.02957483,-0.00618022,0,9.5036,-0.55617408,-0.46998887,0.09462555,0.208588,0.928571,0.642857,-1
JCTCF,2020-04-22,2700.0,5.19999981,5.0999999,0.0,-0.0155,5.584,23.0798,5.30000019,33.8659,0.04035033,0.0,-0.13,0.0,57.1429,-1,1.4828,5.23999977,-2392438.1814,6.3254,0.130878,-0.1455,-1,14.6681,28613.0,1,0.0,2245.0,31332.0,0.0,-0.00952385,-0.01003009,0,13.0878,0.37714129,-0.2967908,0.08608791,0.146681,1.0,0.571429,-1
JCTCF,2020-04-23,1000.0,5.5,5.30000019,0.0,-0.0167,5.4775,42.8689,5.71000004,32.5277,-0.03951467,0.0,-0.1342,0.0,50.0,-1,1.1852,5.69999981,-2392479.2584,6.0701,0.20953,-0.1509,-1,14.5148,28748.0,0,0.0,2177.0,32640.0,0.0,0.05769235,-0.00511651,0,20.953,0.60095662,-0.01045125,0.0817764,0.145148,0.928571,0.5,-1
JCTCF,2020-04-24,1200.0,5.38000011,5.19999981,0.0,-0.0228,5.3477,38.0837,5.38000011,31.6795,-0.02607624,0.0,-0.1399,0.0,42.8571,1,0.4337,5.19999981,-2391244.2584,5.5646,0.331941,-0.1627,-1,22.4116,29270.0,0,0.0,2147.0,33963.0,0.0,-0.02181816,-0.00998014,0,33.1941,0.58421706,0.54405159,0.07340951,0.224116,0.857143,0.428571,-1
