Ticker,Date,Volume,Close,Low,BBANDS_compare_high_low_price,MACD_Hist,BBANDS_Middle_Band,RSI_5,High,ADX,ADX_fluc_pctg,Historic Deaths,MACD_Signal,Historic Cases,AROON_Up,ROC_10_polarize,BBANDS_width,Open,Chaikin_AD,BBANDS_Upper_Band,STOCH_SlowK_min_max,MACD,MACD_polarize,STOCH_SlowD,Case 7-Day Moving Avg,RSI_5_polarize,Dividends,Death 7-Day Moving Avg,New Cases,daily_trend,Close_Change_pctg,SMA_10_fluc_pctg,CCI_20_polarize,STOCH_SlowK,STOCH_SlowK_fluc_pctg,STOCH_SlowD_fluc_pctg,SMA_10_min_max,STOCH_SlowD_min_max,AROON_Down_min_max,AROON_Up_min_max,AROON_polarize
JCTCF,2020-01-24,400.0,7.73999977,7.73999977,0.0,-0.0243,7.784,36.145,7.73999977,48.3963,0.04637707,0.0,-0.0166,0.0,50.0,-1,0.246,7.73999977,-2390852.4064,7.907,0.068415,-0.0409,-1,18.9771,1.0,0,0.0,0.0,1.0,0.0,0.00129363,-0.00330268,1,6.8415,-0.7046826,-0.43839115,0.35991861,0.189771,0.928571,0.5,-1
JCTCF,2020-01-27,300.0,7.69999981,7.69999981,0.0,-0.0261,7.766,31.8508,7.69999981,50.6352,0.0462618,0.0,-0.0231,0.0,42.8571,-1,0.279,7.69999981,-2390852.4064,7.9055,0.068415,-0.0492,-1,12.2832,1.0,0,0.0,0.0,0.0,0.0,-0.00516795,-0.00369596,1,6.8415,0.0,-0.35273567,0.35579208,0.122832,1.0,0.428571,-1
JCTCF,2020-01-28,0.0,7.69999981,7.69999981,0.0,-0.0256,7.726,31.8508,7.69999981,52.6501,0.03979248,0.0,-0.0295,0.0,35.7143,-1,0.0932,7.69999981,-2390852.4064,7.7726,0.041878,-0.0551,-1,5.9569,1.0,0,0.0,0.0,1.0,0.0,0.0,-0.00319799,1,4.1878,-0.38788277,-0.5150368,0.35223473,0.059569,1.0,0.357143,-1
JCTCF,2020-01-29,400.0,7.73000002,7.73000002,-1.0,-0.0218,7.72,40.1793,7.80000019,50.5771,-0.03937314,0.0,-0.035,0.0,28.5714,-1,0.067,7.80000019,-2391249.4064,7.7535,0.1,-0.0567,-1,7.0098,0.0,0,0.0,0.0,0.0,0.0,0.00389613,-0.00012833,0,10.0,1.38788863,0.17675301,0.35209243,0.070098,0.928571,0.285714,-1
JCTCF,2020-01-30,0.0,7.73000002,7.73000002,0.0,-0.0179,7.72,40.1793,7.73000002,48.7113,-0.03689021,0.0,-0.0394,0.0,21.4286,1,0.067,7.73000002,-2391249.4064,7.7535,0.2,-0.0574,-1,11.3959,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.00261827,0,20.0,1.0,0.62570972,0.34918964,0.113959,0.857143,0.214286,-1
JCTCF,2020-01-31,4700.0,7.57000017,7.57000017,0.0,-0.0244,7.686,19.9064,7.73999977,49.1434,0.00887063,0.0,-0.0455,0.0,14.2857,-1,0.2382,7.69999981,-2395979.4064,7.8051,0.2,-0.07,-1,16.6667,1.0,1,0.0,0.0,3.0,0.0,-0.02069856,-0.00463261,1,20.0,0.0,0.46251722,0.34406705,0.166667,1.0,0.142857,-1
JCTCF,2020-02-03,2600.0,7.6500001,7.4000001,1.0,-0.0217,7.676,39.1085,7.69000006,50.791,0.03352637,282.0,-0.051,477.0,7.1429,-1,0.2422,7.69000006,-2394114.0271,7.7971,0.308333,-0.0727,-1,23.6111,4.0,0,0.0,0.0,26.0,0.0,0.01056802,-0.00180995,1,30.8333,0.541665,0.41666317,0.34207493,0.236111,1.0,0.071429,-1
JCTCF,2020-02-04,1300.0,7.55000019,7.55000019,0.0,-0.0248,7.646,28.4508,7.67999983,52.2739,0.02919612,0.0,-0.0572,0.0,0.0,-1,0.3052,7.67999983,-2395377.0271,7.7986,0.333333,-0.0819,-1,28.0556,5.0,1,0.0,0.0,7.0,0.0,-0.01307188,-0.00453309,1,33.3333,0.08108117,0.18823774,0.33709464,0.280556,0.928571,0.0,-1
JCTCF,2020-02-05,0.0,7.55000019,7.55000019,0.0,-0.0249,7.61,28.4508,7.55000019,53.6084,0.02552899,0.0,-0.0634,0.0,0.0,-1,0.2818,7.55000019,-2395377.0271,7.7509,0.480522,-0.0883,-1,37.4063,6.0,1,0.0,0.0,5.0,0.0,0.0,-0.00273224,1,48.0522,0.44156744,0.33329175,0.33410646,0.374063,0.857143,0.0,-1
JCTCF,2020-02-06,300.0,7.26999998,7.26000023,0.0,-0.0409,7.518,12.9778,7.26999998,56.1346,0.04712321,0.0,-0.0736,0.0,7.1429,-1,0.5174,7.26000023,-2395066.0271,7.7767,0.279137,-0.1146,-1,36.4331,6.0,1,0.0,0.0,2.0,0.0,-0.03708612,-0.0060013,1,27.9137,-0.41909632,-0.02601701,0.32756094,0.364331,1.0,0.071429,-1
